Max MP,Spell Learned,UK1,AT,MAT,DF,MDF,Name
0,255,255,255,255,255,255,Dart DLv0
20,0,255,100,100,180,180,Dart DLv1
40,1,255,100,100,180,180,Dart DLv2
60,2,255,100,100,180,180,Dart DLv3
80,255,255,100,100,180,180,Dart DLv4
100,3,255,100,100,180,180,Dart DLv5
0,255,255,255,255,255,255,Lavitz DLv0
20,5,255,100,100,180,180,Lavitz DLv1
40,7,255,100,100,180,180,Lavitz DLv2
60,6,255,100,100,180,180,Lavitz DLv3
80,255,255,100,100,180,180,Lavitz DLv4
100,8,255,100,100,180,180,Lavitz DLv5
0,255,255,255,255,255,255,Shana DLv0
20,11,255,365,100,180,180,Shana DLv1
40,10,255,365,100,180,180,Shana DLv2
60,12,255,365,100,180,180,Shana DLv3
80,255,255,365,100,180,180,Shana DLv4
100,13,255,365,100,180,180,Shana DLv5
0,255,255,255,255,255,255,Rose DLv0
20,15,255,100,100,180,180,Rose DLv1
40,16,255,100,100,180,180,Rose DLv2
60,18,255,100,100,180,180,Rose DLv3
80,255,255,100,100,180,180,Rose DLv4
100,19,255,100,100,180,180,Rose DLv5
0,255,255,255,255,255,255,Haschel DLv0
20,20,255,100,100,180,180,Haschel DLv1
40,21,255,100,100,180,180,Haschel DLv2
60,22,255,100,100,180,180,Haschel DLv3
80,255,255,100,100,180,180,Haschel DLv4
100,23,255,100,100,180,180,Haschel DLv5
0,255,255,255,255,255,255,Albert DLv0
20,14,255,100,100,180,180,Albert DLv1
40,26,255,100,100,180,180,Albert DLv2
60,17,255,100,100,180,180,Albert DLv3
80,255,255,100,100,180,180,Albert DLv4
100,8,255,100,100,180,180,Albert DLv5
0,255,255,255,255,255,255,Meru DLv0
20,24,255,100,100,180,180,Meru DLv1
40,25,255,100,100,180,180,Meru DLv2
60,27,255,100,100,180,180,Meru DLv3
80,255,255,100,100,180,180,Meru DLv4
100,28,255,100,100,180,180,Meru DLv5
0,255,255,255,255,255,255,Kongol DLv0
20,29,255,100,100,70,100,Kongol DLv1
40,255,255,100,100,70,100,Kongol DLv2
60,30,255,100,100,70,100,Kongol DLv3
80,255,255,100,100,70,100,Kongol DLv4
100,31,255,100,100,70,100,Kongol DLv5
0,255,255,255,255,255,255,??? DLv0
20,66,255,365,100,180,180,??? DLv1
40,65,255,365,100,180,180,??? DLv2
60,67,255,365,100,180,180,??? DLv3
80,255,255,365,100,180,180,??? DLv4
100,13,255,365,100,180,180,??? DLv5
0,255,255,255,255,255,255,Divine Dart DLv0
20,0,255,100,100,180,180,Divine Dart DLv1
40,1,255,100,100,180,180,Divine Dart DLv2
60,2,255,100,100,180,180,Divine Dart DLv3
80,255,255,100,100,180,180,Divine Dart DLv4
100,3,255,100,100,180,180,Divine Dart DLv5
