ID,HP,MP,AT,MAT,SPD,DF,MDF,A-AV,M-AV,SPECIAL,UK,Element,Element Null,Status Resist,Target Arrow X,Target Arrow Y,Target Arrow Z,UK,UK,UK,UK,UK,UK,UK,Name
0,73,0,13,9,50,150,75,0,0,0,0,2,0,99,5,12,0,8,5,2,5,6,0,0,Mantis
1,420,0,68,52,60,200,50,0,0,0,0,2,0,99,253,7,0,9,9,2,1,4,0,0,Scissorhands
2,2189,0,80,114,60,80,160,0,0,128,0,8,0,255,0,16,0,0,0,1,1,10,0,0,Spinninghead
3,11520,0,180,142,50,80,80,0,0,16,0,2,0,99,0,16,0,0,0,5,13,14,0,0,Sandworm
4,148,0,14,18,70,80,120,20,0,0,0,128,0,99,1,12,0,8,8,1,0,7,0,0,Sea Dragon
5,2496,0,115,126,60,100,120,10,0,0,0,1,0,99,0,9,0,8,4,2,1,6,0,0,Land Skater
6,2016,0,132,84,50,130,90,0,0,16,0,64,0,99,3,15,0,8,5,3,2,9,0,0,Beastie Dragon
7,7680,0,200,228,50,150,160,0,0,16,0,4,0,99,3,12,0,0,0,2,8,7,0,0,Manticore
8,13,0,5,2,40,120,120,0,0,0,0,128,0,99,1,9,0,8,6,1,1,6,0,0,Goblin
9,7680,0,216,156,50,160,100,0,0,16,0,2,0,107,0,17,0,8,3,3,3,12,0,0,Minotaur
10,7680,0,200,180,60,180,80,0,0,144,0,4,0,255,0,17,0,8,3,2,1,10,0,0,Hyper Skeleton
11,19680,0,202,202,50,100,100,0,0,144,0,2,0,99,255,16,0,8,3,3,0,8,0,0,Basilisk
12,2940,0,104,66,50,60,60,0,0,16,0,2,0,99,2,19,0,0,0,3,5,12,0,0,Flabby Troll
13,120,0,15,11,60,80,60,0,0,0,0,2,0,99,255,7,0,11,0,3,2,5,0,0,Evil Spider
14,525,0,69,62,60,180,100,0,0,0,0,16,0,99,0,18,0,8,4,2,0,9,0,0,Spider Urchin
15,360,0,30,21,60,120,80,0,0,0,0,2,0,99,0,16,0,8,4,2,2,10,0,0,Strong Man
16,1554,0,74,71,80,120,150,0,0,0,0,16,0,99,0,20,0,16,10,3,0,15,0,0,Dragonfly
17,675,0,32,52,60,80,160,5,0,0,0,128,0,99,0,8,0,8,5,0,4,4,0,0,Hell Hound
18,1050,0,95,80,50,120,60,0,0,144,0,4,0,127,1,22,0,8,5,3,2,16,0,0,Death
19,180,0,23,20,50,160,40,0,0,0,0,2,0,99,0,14,0,12,5,2,0,9,0,0,Lizard Man
20,4000,0,182,130,50,120,80,0,0,0,0,2,0,99,250,15,0,8,5,3,251,9,0,0,White Ape
21,10,0,5,5,45,100,120,0,0,0,0,64,0,99,1,11,0,10,5,1,2,7,0,0,Assassin Cock
22,202,0,16,18,60,100,80,0,0,0,0,1,0,107,255,14,0,8,3,2,255,10,0,0,Merman
23,1680,0,66,94,70,80,120,10,0,0,0,1,0,99,0,7,0,10,10,1,1,5,0,0,Glare
24,6,0,3,3,45,80,120,0,0,0,0,4,0,107,4,6,0,8,5,0,5,4,0,0,Berserk Mouse
25,14640,0,287,202,50,160,100,0,0,0,0,2,0,99,3,14,2,8,5,2,2,9,0,0,Dragon Soldier
26,1050,0,74,61,50,140,60,0,0,16,0,2,0,99,2,15,0,8,3,3,10,9,0,0,Earth Shaker
27,47,0,8,11,70,80,120,0,0,0,0,4,0,99,255,7,0,8,5,0,0,5,0,0,Vampire Kiwi
28,135,0,11,20,80,80,180,20,0,0,0,2,0,227,0,8,0,8,3,1,0,6,0,0,Myconido
29,1092,0,62,62,60,100,30,0,0,16,0,64,0,99,3,18,0,0,0,3,4,11,0,0,Roc
30,1459,0,106,94,50,160,70,0,0,0,0,2,2,255,0,12,0,9,5,1,255,6,0,0,Gnome
31,3200,0,158,112,60,160,80,0,0,0,0,8,0,255,0,16,0,16,8,2,2,10,0,0,Bowling
32,2880,0,126,153,50,120,160,0,0,16,0,1,1,255,1,21,0,8,7,2,1,14,0,0,Freeze Knight
33,117,0,14,21,60,100,160,20,20,0,0,128,128,255,254,18,0,10,4,2,255,14,0,0,Fire Spirit
34,7191,0,289,251,65,250,100,0,0,128,0,16,0,255,0,22,0,8,4,2,1,14,0,0,Mad Skull
35,288,0,20,20,60,100,80,0,0,0,0,16,0,99,0,16,0,8,4,1,6,10,0,0,Run Fast
36,4160,0,130,171,70,100,140,10,0,0,0,64,0,227,0,19,0,0,0,1,5,15,0,0,Canbria Dayfly
37,3264,0,144,122,80,160,100,20,0,0,0,64,0,99,4,28,0,0,0,3,0,22,0,0,Wyvern
38,16,0,5,5,30,160,40,0,0,0,0,2,0,99,0,10,0,8,6,3,1,7,0,0,Trent
39,3200,0,144,135,70,150,80,0,0,0,0,8,0,255,1,15,0,22,5,1,2,9,0,0,Spring Hitter
40,4968,0,156,199,60,150,120,0,0,0,0,4,0,255,0,28,0,8,10,3,2,22,0,0,Guillotine
41,3456,0,160,115,80,120,80,0,0,0,0,8,0,255,1,17,0,8,2,2,0,12,0,0,Terminator
42,4,0,0,0,150,100,100,50,50,131,0,8,0,255,0,14,0,8,8,1,0,11,0,0,OOPARTS
43,1824,0,86,114,70,80,150,10,10,0,0,32,0,99,0,14,0,8,4,1,255,11,0,0,Fairy
44,1733,0,94,94,60,100,120,0,0,0,0,2,0,99,0,11,0,8,5,1,0,7,0,0,Puck
45,58,0,11,9,50,160,80,0,0,16,0,2,0,99,0,14,0,8,5,1,1,10,0,0,Mole
46,48,0,9,17,70,80,120,20,0,0,0,4,0,99,0,17,0,17,5,0,0,13,0,0,Screaming Bat
47,3520,0,135,135,60,100,150,0,0,0,0,4,0,99,0,15,0,8,10,2,0,11,0,0,Succubus
48,7680,0,169,126,50,80,60,0,0,144,0,2,0,99,10,30,0,0,0,5,11,14,0,0,Mammoth
49,19680,0,174,247,70,80,120,5,0,0,0,16,0,99,3,10,0,8,10,1,6,6,0,0,MetalFang
50,2560,0,112,158,70,80,100,20,0,0,0,64,0,99,0,5,0,8,4,2,6,4,0,0,Windy Weasel
51,3192,0,112,88,60,140,40,0,0,16,0,2,0,107,2,20,0,8,4,3,5,15,0,0,Wounded Bear
52,630,0,46,51,80,80,30,20,0,0,0,64,0,99,0,7,0,8,4,0,0,3,0,0,Erupting Chick
53,1482,0,76,108,60,80,120,20,0,0,0,64,0,99,2,7,0,8,5,1,1,6,0,0,Flying Rat
54,4,0,0,0,120,100,100,0,0,140,0,8,0,251,0,15,0,8,5,1,0,11,0,0,Rainbow Bird
55,230,0,23,21,50,160,80,0,0,0,0,2,0,255,1,16,0,8,2,2,1,11,0,0,Living Statue
56,31200,0,202,174,60,100,80,0,0,0,0,2,0,99,2,9,0,11,5,2,1,6,0,0,Madman
57,5760,0,146,130,50,100,60,0,0,0,0,16,0,99,255,20,0,8,5,3,0,13,0,0,Wildman
58,450,0,26,26,70,80,160,0,0,0,0,4,0,99,4,8,0,8,5,2,5,7,0,0,Gargoyle
59,33,0,9,9,60,100,100,20,0,0,0,64,0,99,0,17,0,8,5,1,0,13,0,0,Crescent Bee
60,5120,0,144,190,70,80,250,0,0,0,0,1,0,99,0,17,0,12,5,2,0,13,0,0,Jelly
