EXP To Next Level,Name
0,Dart Lv 0
20,Dart Lv 1
43,Dart Lv 2
102,Dart Lv 3
200,Dart Lv 4
203,Dart Lv 5
548,Dart Lv 6
819,Dart Lv 7
1166,Dart Lv 8
1600,Dart Lv 9
2129,Dart Lv 10
2764,Dart Lv 11
3515,Dart Lv 12
4390,Dart Lv 13
5400,Dart Lv 14
6553,Dart Lv 15
7860,Dart Lv 16
9331,Dart Lv 17
10974,Dart Lv 18
12800,Dart Lv 19
14817,Dart Lv 20
17036,Dart Lv 21
19467,Dart Lv 22
22118,Dart Lv 23
25000,Dart Lv 24
28121,Dart Lv 25
31492,Dart Lv 26
35123,Dart Lv 27
39022,Dart Lv 28
43200,Dart Lv 29
47665,Dart Lv 30
52428,Dart Lv 31
57499,Dart Lv 32
62886,Dart Lv 33
68600,Dart Lv 34
74649,Dart Lv 35
81044,Dart Lv 36
87795,Dart Lv 37
94910,Dart Lv 38
102400,Dart Lv 39
110273,Dart Lv 40
118540,Dart Lv 41
127211,Dart Lv 42
136294,Dart Lv 43
145800,Dart Lv 44
155737,Dart Lv 45
166116,Dart Lv 46
176947,Dart Lv 47
188238,Dart Lv 48
200000,Dart Lv 49
215302,Dart Lv 50
231216,Dart Lv 51
247754,Dart Lv 52
264928,Dart Lv 53
282750,Dart Lv 54
301232,Dart Lv 55
320386,Dart Lv 56
340224,Dart Lv 57
360758,Dart Lv 58
382000,Dart Lv 59
0,Dart Lv 60
0,Lavitz Lv 0
18,Lavitz Lv 1
38,Lavitz Lv 2
92,Lavitz Lv 3
180,Lavitz Lv 4
200,Lavitz Lv 5
493,Lavitz Lv 6
737,Lavitz Lv 7
1050,Lavitz Lv 8
1200,Lavitz Lv 9
1597,Lavitz Lv 10
2073,Lavitz Lv 11
2636,Lavitz Lv 12
3292,Lavitz Lv 13
4050,Lavitz Lv 14
4915,Lavitz Lv 15
5895,Lavitz Lv 16
6998,Lavitz Lv 17
8230,Lavitz Lv 18
9600,Lavitz Lv 19
11113,Lavitz Lv 20
12777,Lavitz Lv 21
14600,Lavitz Lv 22
16588,Lavitz Lv 23
18750,Lavitz Lv 24
21091,Lavitz Lv 25
23619,Lavitz Lv 26
26342,Lavitz Lv 27
29266,Lavitz Lv 28
32400,Lavitz Lv 29
35749,Lavitz Lv 30
39321,Lavitz Lv 31
43124,Lavitz Lv 32
47164,Lavitz Lv 33
51450,Lavitz Lv 34
55987,Lavitz Lv 35
