ID,HP,MP,AT,MAT,SPD,DF,MDF,A-AV,M-AV,SPECIAL,UK,Element,Element Null,Status Resist,Target Arrow X,Target Arrow Y,Target Arrow Z,UK,UK,UK,UK,UK,UK,UK,Name
0,25,0,8,6,50,150,75,0,0,0,0,2,0,99,5,12,0,8,5,2,5,6,0,0,Mantis
1,100,0,37,26,60,200,50,0,0,0,0,2,0,99,253,7,0,9,9,2,1,4,0,0,Scissorhands
2,480,0,45,64,60,80,160,0,0,128,0,8,0,255,0,16,0,0,0,1,1,10,0,0,Spinninghead
3,1800,0,100,71,50,80,80,0,0,16,0,2,0,99,0,16,0,0,0,5,13,14,0,0,Sandworm
4,45,0,9,13,70,80,120,20,0,0,0,128,0,99,1,12,0,8,8,1,0,7,0,0,Sea Dragon
5,390,0,58,63,60,100,120,10,0,0,0,1,0,99,0,9,0,8,4,2,1,6,0,0,Land Skater
6,420,0,80,48,50,130,90,0,0,16,0,64,0,99,3,15,0,8,5,3,2,9,0,0,Beastie Dragon
7,1200,0,90,102,50,150,160,0,0,16,0,4,0,99,3,12,0,0,0,2,8,7,0,0,Manticore
8,5,0,2,3,40,120,120,0,0,0,0,128,0,99,1,9,0,8,6,1,1,6,0,0,Goblin
9,1200,0,103,73,50,160,100,0,0,16,0,2,0,107,0,17,0,8,3,3,3,12,0,0,Minotaur
10,1200,0,114,81,60,180,80,0,0,144,0,4,0,255,0,17,0,8,3,2,1,10,0,0,Hyper Skeleton
11,820,0,97,97,50,100,100,0,0,144,0,2,0,99,255,16,0,8,3,3,0,8,0,0,Basilisk
12,700,0,65,38,50,60,60,0,0,16,0,2,0,99,2,19,0,0,0,3,5,12,0,0,Flabby Troll
13,50,0,9,7,60,80,60,0,0,0,0,2,0,99,255,7,0,11,0,3,2,5,0,0,Evil Spider
14,150,0,31,31,60,180,100,0,0,0,0,16,0,99,0,18,0,8,4,2,0,9,0,0,Spider Urchin
15,100,0,21,15,60,120,80,0,0,0,0,2,0,99,0,16,0,8,4,2,2,10,0,0,Strong Man
16,370,0,35,35,80,120,150,0,0,0,0,16,0,99,0,20,0,16,10,3,0,15,0,0,Dragonfly
17,150,0,20,33,60,80,160,5,0,0,0,128,0,99,0,8,0,8,5,0,4,4,0,0,Hell Hound
18,250,0,56,40,50,120,60,0,0,144,0,4,0,127,1,22,0,8,5,3,2,16,0,0,Death
19,50,0,17,14,50,160,40,0,0,0,0,2,0,99,0,14,0,12,5,2,0,9,0,0,Lizard Man
20,600,0,91,65,50,120,80,0,0,0,0,2,0,99,250,15,0,8,5,3,251,9,0,0,White Ape
21,4,0,2,3,50,100,120,10,0,0,0,64,0,99,1,11,0,10,5,1,2,7,0,0,Assassin Cock
22,60,0,11,13,60,100,80,0,0,0,0,1,0,107,255,14,0,8,3,2,255,10,0,0,Merman
23,400,0,38,53,70,80,120,10,0,0,0,1,0,99,0,7,0,10,10,1,1,5,0,0,Glare
24,4,0,2,2,50,80,120,10,0,0,0,4,0,107,4,6,0,8,5,0,5,4,0,0,Berserk Mouse
25,610,0,137,97,50,160,100,0,0,0,0,2,0,99,3,14,2,8,5,2,2,9,0,0,Dragon Soldier
26,250,0,42,31,50,140,60,0,0,16,0,2,0,99,2,15,0,8,3,3,10,9,0,0,Earth Shaker
27,20,0,5,7,70,80,120,0,0,0,0,4,0,99,255,7,0,8,5,0,0,5,0,0,Vampire Kiwi
28,45,0,7,15,80,80,180,20,0,0,0,2,0,227,0,8,0,8,3,1,0,6,0,0,Myconido
29,260,0,37,31,60,100,30,0,0,16,0,64,0,99,3,18,0,0,0,3,4,11,0,0,Roc
30,320,0,60,53,50,160,70,0,0,0,0,2,2,255,0,12,0,9,5,1,255,6,0,0,Gnome
31,500,0,79,56,60,160,80,0,0,0,0,8,0,255,0,16,0,16,8,2,2,10,0,0,Bowling
32,450,0,63,77,50,120,160,0,0,16,0,1,1,255,1,21,0,8,7,2,1,14,0,0,Freeze Knight
33,33,0,11,15,60,100,160,20,20,0,0,128,128,255,254,18,0,10,4,2,255,14,0,0,Fire Spirit
34,999,0,120,105,65,250,100,0,0,128,0,16,0,255,0,22,0,8,4,2,1,14,0,0,Mad Skull
35,80,0,14,14,60,100,80,0,0,0,0,16,0,99,0,16,0,8,4,1,6,10,0,0,Run Fast
36,650,0,65,86,70,100,140,10,0,0,0,64,0,227,0,19,0,0,0,1,5,15,0,0,Canbria Dayfly
37,680,0,80,69,80,160,100,20,0,0,0,64,0,99,4,28,0,0,0,3,0,22,0,0,Wyvern
38,6,0,3,3,30,160,40,0,0,0,0,2,0,99,0,10,0,8,6,3,1,7,0,0,Trent
39,500,0,72,68,70,150,80,0,0,0,0,8,0,255,1,15,0,22,5,1,2,9,0,0,Spring Hitter
40,777,0,110,93,60,150,120,0,0,0,0,4,0,255,0,28,0,8,10,3,2,22,0,0,Guillotine
41,540,0,80,58,80,120,80,0,0,0,0,8,0,255,1,17,0,8,2,2,0,12,0,0,Terminator
42,4,0,1,1,150,100,100,50,50,131,0,8,0,255,0,14,0,8,8,1,0,11,0,0,OOPARTS
43,400,0,45,64,70,80,150,10,10,0,0,32,0,99,0,14,0,8,4,1,255,11,0,0,Fairy
44,380,0,53,53,60,100,120,0,0,0,0,2,0,99,0,11,0,8,5,1,0,7,0,0,Puck
45,20,0,7,6,50,160,80,0,0,16,0,2,0,99,0,14,0,8,5,1,1,10,0,0,Mole
46,15,0,6,8,70,80,120,20,0,0,0,4,0,99,0,17,0,17,5,0,0,13,0,0,Screaming Bat
47,550,0,68,68,60,100,150,0,0,0,0,4,0,99,0,15,0,8,10,2,0,11,0,0,Succubus
48,1600,0,89,63,50,80,60,0,0,144,0,2,0,99,10,30,0,0,0,5,11,14,0,0,Mammoth
49,820,0,83,118,70,80,120,5,0,0,0,16,0,99,3,10,0,8,10,1,6,6,0,0,MetalFang
50,400,0,56,79,70,80,100,20,0,0,0,64,0,99,0,5,0,8,4,2,6,4,0,0,Windy Weasel
51,700,0,70,50,60,140,40,0,0,16,0,2,0,107,2,20,0,8,4,3,5,15,0,0,Wounded Bear
52,150,0,26,26,80,80,30,20,0,0,0,64,0,99,0,7,0,8,4,0,0,3,0,0,Erupting Chick
53,300,0,43,61,60,80,120,20,0,0,0,64,0,99,2,7,0,8,5,1,1,6,0,0,Flying Rat
54,4,0,1,1,120,100,100,0,0,140,0,8,0,251,0,15,0,8,5,1,0,11,0,0,Rainbow Bird
55,64,0,15,15,50,160,80,0,0,0,0,2,0,255,1,16,0,8,2,2,1,11,0,0,Living Statue
56,1300,0,97,83,60,100,80,0,0,0,0,2,0,99,2,9,0,11,5,2,1,6,0,0,Madman
57,900,0,79,65,50,100,60,0,0,0,0,16,0,99,255,20,0,8,5,3,0,13,0,0,Wildman
58,120,0,17,18,70,80,160,0,0,0,0,4,0,99,4,8,0,8,5,2,5,7,0,0,Gargoyle
59,20,0,6,6,60,100,100,20,0,0,0,64,0,99,0,17,0,8,5,1,0,13,0,0,Crescent Bee
