EXP,Gold,Drop Rate,Item,UK1,UK2,Name
16,6,20,195,0,0,Mantis
128,22,10,208,0,0,Scissorhands
480,34,15,205,0,0,Spinninghead
1152,35,10,229,0,0,Sandworm
28,8,10,203,0,0,Sea Dragon
504,34,10,231,0,0,Land Skater
576,39,10,237,0,0,Beastie Dragon
1632,57,10,222,0,0,Manticore
3,3,10,230,0,0,Goblin
1232,46,15,205,0,0,Minotaur
1536,60,10,218,0,0,Hyper Skeleton
1144,50,10,222,0,0,Basilisk
288,33,10,218,0,0,Flabby Troll
21,9,10,222,0,0,Evil Spider
160,24,10,212,0,0,Spider Urchin
72,15,10,203,0,0,Strong Man
176,26,10,232,0,0,Dragonfly
89,18,10,229,0,0,Hell Hound
240,30,10,205,0,0,Death
57,14,20,203,0,0,Lizard Man
720,44,10,220,0,0,White Ape
2,4,50,203,0,0,Assassin Cock
35,11,20,222,0,0,Merman
216,30,10,205,0,0,Glare
1,1,20,203,0,0,Berserk Mouse
1248,54,10,231,0,0,Dragon Soldier
140,19,10,203,0,0,Earth Shaker
11,3,20,203,0,0,Vampire Kiwi
25,6,10,206,0,0,Myconido
192,28,10,244,0,0,Roc
440,40,10,207,0,0,Gnome
864,48,5,232,0,0,Bowling
448,38,10,209,0,0,Freeze Knight
44,10,10,198,0,0,Fire Spirit
1584,64,10,205,0,0,Mad Skull
48,13,15,206,0,0,Run Fast
768,44,15,206,0,0,Canbria Dayfly
528,43,10,245,0,0,Wyvern
4,2,30,195,0,0,Trent
880,33,10,231,0,0,Spring Hitter
1200,38,10,212,0,0,Guillotine
800,37,10,215,0,0,Terminator
100,100,100,211,0,0,OOPARTS
320,30,10,231,0,0,Fairy
400,37,10,236,0,0,Puck
15,5,10,222,0,0,Mole
14,5,10,203,0,0,Screaming Bat
720,46,10,216,0,0,Succubus
672,46,15,206,0,0,Mammoth
832,41,10,246,0,0,MetalFang
576,32,10,231,0,0,Windy Weasel
384,38,15,231,0,0,Wounded Bear
128,19,10,203,0,0,Erupting Chick
256,25,10,222,0,0,Flying Rat
5000,0,0,255,0,0,Rainbow Bird
79,16,5,200,0,0,Living Statue
936,36,15,206,0,0,Madman
792,40,10,217,0,0,Wildman
64,13,10,202,0,0,Gargoyle
12,4,10,195,0,0,Crescent Bee
896,36,10,231,0,0,Jelly
1056,52,10,222,0,0,Spiky Beetle
1360,46,10,247,0,0,Slug
640,42,10,221,0,0,Witch
16,7,20,229,0,0,Ugly Balloon
960,50,10,248,0,0,Maximum Volt
86,18,30,203,0,0,Crystal Golem
616,41,10,238,0,0,Rocky Turtle
38,13,10,197,0,0,Crocodile
102,24,10,229,0,0,Frilled Lizard
220,33,10,210,0,0,Magician Bogy
2016,32,10,206,0,0,Triceratops
1344,54,10,243,0,0,Stern Fish
288,35,10,225,0,0,Forest Runner
32,8,10,203,0,0,Magma Fish
1120,50,10,206,0,0,Scud Shark
240,27,5,227,0,0,Screw Shell
1088,41,10,221,0,0,Potbelly
1408,55,10,222,0,0,Loner Knight
198,23,10,229,0,0,Berserker
1440,58,10,205,0,0,Professor
1872,75,10,241,0,0,Psyche Druid
216,20,10,203,0,0,Gangster
162,28,10,230,0,0,Crafty Thief
1152,50,10,205,0,0,Undead
180,25,10,203,0,0,Skeleton
160,22,10,230,0,0,Will-o'-Wisp
3,0,100,229,0,0,Cursed Jar
52,16,10,235,0,0,Man Eating Bud
960,48,10,249,0,0,Cactus
43,11,10,224,0,0,Mandrake
264,36,10,236,0,0,Mermaid
48,12,10,229,0,0,Salamander
1728,70,10,231,0,0,Unicorn
18,8,10,195,0,0,Orc
320,32,10,193,0,0,Dark Elf
384,32,15,205,0,0,Baby Dragon
1320,53,10,249,0,0,Harpy
1224,62,10,205,0,0,Cute Cat
153,26,10,235,0,0,Arrow Shooter
36,14,20,205,0,0,Red Hot
1024,45,10,231,0,0,Specter
134,100,10,217,0,0,Sandora Elite
112,22,15,203,0,0,Knight of Sandora
19,6,20,206,0,0,Slime
75,14,10,201,0,0,Fowl Fighter
144,21,10,205,0,0,Killer Bird
57,12,20,206,0,0,Plague Rat
115,17,10,206,0,0,Stinger
144,31,10,215,0,0,Piggy
192,24,10,203,0,0,Sea Piranha
360,27,15,206,0,0,Toad Stool
432,28,10,214,0,0,Mega Sea Dragon
480,36,15,206,0,0,Deadly Spider
560,30,5,227,0,0,Icicle Ball
38,10,15,205,0,0,Tricky Bat
648,36,10,229,0,0,Mr.Bone
352,28,5,228,0,0,Moss Dresser
1080,43,10,221,0,0,Death Purger
864,39,10,228,0,0,Scorpion
