RETAIL,,,,,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,,,,,
4074,true,5,7,11,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,
1.2,1,,,,,,,,,,,,,,,,,,,,
1.4,1,,,,,,,,,,,,,,,,,,,,
1.6,1,,,,,,,,,,,,,,,,,,,,
1.75,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2,additionSound3,additionSound4,additionSound5,additionSound6
192,7,2,2,30,5,39,0,5,0,1,0,19,32,0,11,"5,2","0,0",,,,
192,33,19,2,30,5,0,0,-3,17,2,4,11,32,0,0,"8,19","2,17",,,,
192,32,15,2,30,5,0,0,3,10,3,15,17,32,0,0,"12,15","3,13","7,3",,,
192,5,1,1,30,5,0,0,0,0,1,0,16,32,0,0,"8,1","2,0",,,,
192,11,6,2,30,5,0,0,0,0,0,0,16,32,0,0,"9,6","0,4","7,9","7,14","10,7","1,5"
192,12,7,2,30,5,0,0,0,4,2,3,15,32,0,0,"10,7","1,5",,,,
192,34,12,1,20,5,0,4,0,4,9,13,16,32,0,0,"11,12","3,10","7,9",,,
