RETAIL,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,
0,false,5,5,0,,,,,,,,,,,
,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset
192,0,0,0,345,0,41,0,0,0,0,0,12,0,18,0
192,0,0,0,34,0,0,0,0,0,0,0,10,0,0,0
192,0,0,0,69,0,0,0,0,0,0,0,8,0,0,0
192,0,0,0,104,0,0,0,0,0,0,0,10,0,0,0
192,0,0,0,138,0,0,0,0,0,0,0,6,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
