Level,Speed,AT,MAT,DF,MDF,HP,EXP
1,50,2,3,4,4,30,20
2,0,2,2,1,1,30,43
3,0,2,2,2,2,30,102
4,0,2,2,3,2,30,200
5,0,3,2,2,2,30,345
6,0,2,2,2,2,30,548
7,0,2,2,2,2,30,819
8,0,3,2,3,2,30,1166
9,0,2,2,2,2,30,1600
10,0,2,2,2,2,30,2129
11,0,3,3,3,3,30,2764
12,0,2,2,2,2,83,3515
13,0,3,3,3,3,83,4390
14,0,2,2,2,3,83,5400
15,0,3,3,3,2,83,6553
16,0,2,2,2,3,83,7860
17,0,3,3,3,3,83,9331
18,0,2,2,2,2,83,10974
19,0,3,3,3,3,83,12800
20,0,2,2,2,3,83,14817
21,0,3,3,3,3,83,17036
22,0,2,2,2,2,112,19467
23,0,3,3,3,2,112,22118
24,0,2,2,2,2,112,25000
25,0,3,3,3,3,112,28121
26,0,2,2,2,2,112,31492
27,0,3,3,3,2,112,35123
28,0,2,2,2,3,112,39022
29,0,3,3,3,2,112,43200
30,0,2,2,2,2,112,47665
31,0,3,3,3,3,112,52428
32,0,2,2,2,2,119,57499
33,0,3,3,3,3,119,62886
34,0,2,2,2,3,119,68600
35,0,3,3,3,2,119,74649
36,0,2,2,2,3,119,81044
37,0,3,3,3,3,119,87795
38,0,2,2,2,2,119,94910
39,0,3,3,3,3,119,102400
40,0,2,2,2,3,119,110273
41,0,3,3,3,3,119,118540
42,0,2,2,2,2,259,127211
43,0,3,3,2,2,259,136294
44,0,2,2,3,2,259,145800
45,0,3,3,2,3,259,155737
46,0,2,2,3,2,259,166116
47,0,3,3,2,2,259,176947
48,0,2,2,3,3,259,188238
49,0,3,3,2,2,259,200000
50,0,2,2,3,2,259,215302
51,0,3,3,2,3,259,231216
52,0,2,2,3,2,160,247754
53,0,3,3,3,3,160,264928
54,0,3,3,2,3,160,282750
55,0,3,3,3,3,160,301232
56,0,2,3,3,3,160,320386
57,0,3,3,2,3,160,340224
58,0,3,3,3,3,160,360758
59,0,3,3,3,3,160,382000
60,0,3,3,3,3,160,0
