RETAIL,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,
4041,true,5,5,7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,
1.08,1.5,,,,,,,,,,,,,,,,
1.16,2,,,,,,,,,,,,,,,,
1.24,2.5,,,,,,,,,,,,,,,,
1.35,3.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2
192,17,11,3,30,6,10,0,2,2,5,7,16,32,0,11,"5,11","0,9"
192,19,14,2,30,6,0,0,-3,11,7,3,15,32,0,0,"8,14","1,12"
192,13,7,3,30,6,0,0,-2,0,9,11,12,32,0,0,"8,7","2,5"
192,16,11,2,30,6,0,0,-2,0,12,11,14,32,0,0,"9,11","2,9"
192,17,13,1,30,6,0,4,-9,0,17,13,18,32,0,0,"11,13","3,11"
