Flag,Slot,Type,Element,Elemental Resistance,Elemental Null,Status Resist,MP Per Physical Hit,SP Per Physical Hit,MP Per Magical Hit,SP Per Magical Hit,HP Multiplier,MP Multiplier,SP Multiplier,Magical Resistance,Physical Resistance,Magical Immunity,Physical Immunity,Revive,HP Regen,MP Regen,SP Regen,Escape Bonus,Icon,SPD,AT,MAT,DF,MDF,A-Hit,M-Hit,A-AV,M-AV,Status Chance,On Hit Status,Price,Name,Description,Registry ID
0,128,longsword,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,Broad Sword,,dragoon_modifier:broad_sword
0,128,longsword,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,30,Bastard Sword,,dragoon_modifier:bastard_sword
0,128,longsword,128,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,75,Heat Blade,Fire-based attack.,dragoon_modifier:heat_blade
0,128,longsword,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,125,Falchion,,dragoon_modifier:falchion
0,128,longsword,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,20,4,175,Mind Crush,20%% chance of§confusing enemy.,dragoon_modifier:mind_crush
0,128,longsword,0,0,0,0,0,0,0,0,0,0,50,False,False,False,False,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,200,Fairy Sword,Attacks generate§50%% more SP.,dragoon_modifier:fairy_sword
0,128,longsword,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,250,Claymore,,dragoon_modifier:claymore
0,128,"longsword,shortsword",0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,-10,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,225,Soul Eater,"Powerful, but§HP decays§each turn.",dragoon_modifier:soul_eater
0,128,axe,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,1,0,45,0,0,0,0,0,0,0,0,0,100,Axe,,dragoon_modifier:axe
0,128,axe,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,1,0,59,0,0,0,0,0,0,0,0,0,150,Tomahawk,,dragoon_modifier:tomahawk
0,128,axe,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,1,0,67,0,0,0,0,0,0,0,0,0,175,Battle Axe,,dragoon_modifier:battle_axe
0,128,axe,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,1,0,79,0,0,0,0,0,0,0,20,16,200,Great Axe,20%% chance of§stunning enemy.,dragoon_modifier:great_axe
64,128,axe,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,1,0,88,0,0,0,0,0,0,0,10,0,250,Indora's Axe,10%% chance to§instantly kill§enemy.,dragoon_modifier:indoras_axe
0,128,shortsword,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,30,Rapier,,dragoon_modifier:rapier
0,128,shortsword,4,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,100,Shadow Cutter,Dark-based attack.,dragoon_modifier:shadow_cutter
0,128,shortsword,0,0,0,0,0,0,0,0,0,0,50,False,False,False,False,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,150,Dancing Dagger,Attacks generate§50%% more SP.,dragoon_modifier:dancing_dagger
0,128,shortsword,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,10,16,175,Flamberge,20%% chance of§stunning enemy.,dragoon_modifier:flamberge
64,128,shortsword,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,10,0,200,Gladius,10%% chance to§instantly kill§enemy.,dragoon_modifier:gladius
0,128,shortsword,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,20,8,80,Demon Stilleto,20%% chance of§frightening enemy.,dragoon_modifier:demon_stiletto
0,128,polearm,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,10,Spear,,dragoon_modifier:spear
0,128,polearm,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,3,0,19,0,0,0,0,0,0,0,0,0,50,Lance,,dragoon_modifier:lance
0,128,polearm,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,3,0,37,0,0,0,0,0,0,0,0,0,125,Glaive,,dragoon_modifier:glaive
0,128,polearm,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,3,0,45,0,0,0,0,0,0,0,20,8,150,Spear of Terror,20%% chance of§frightening enemy.,dragoon_modifier:spear_of_terror
0,128,polearm,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,3,0,56,0,0,0,0,0,0,0,0,0,200,Partisan,,dragoon_modifier:partisan
0,128,polearm,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,3,0,65,0,0,0,0,0,0,0,0,0,250,Halberd,,dragoon_modifier:halberd
0,128,polearm,64,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,3,0,28,0,0,0,0,0,0,0,0,0,70,Twister Glaive,Wind-based attack.,dragoon_modifier:twister_glaive
0,128,bow,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,4,0,3,0,0,0,20,0,0,0,0,0,10,Short Bow,,dragoon_modifier:short_bow
0,128,bow,32,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,0,0,0,4,0,9,0,0,0,20,0,0,0,0,0,25,Sparkle Arrow,Light-based attack.,dragoon_modifier:sparkle_arrow
