Addition Unlock Level,Name
1,Double Slash
2,Volcano
8,Burning Rush
13,Crush Dance
17,Madness Hero
20,Moon Strike
-1,Blazing Dynamo
-2, 
1,Harpoon
5,Spinning Cane
10,Rod Typhoon
16,Gust of Wind Dance
-1,Flower Storm
-2, 
1,Whip Smack
8,More & More
17,Hard Blade
-1,Demon's Dance
-2, 
1,Pursuit
17,Inferno
-1,Bone Crush
-2, 
1,Double Smack
8,Hammer Spin 
15,Cool Boogie
21,Cat's Cradle
-1,Perky Step
-2, 
1,Double Punch
5,Flurry of Styx
10,Summon 4 Gods
15,5 Ring Shattering
20,Hex Hammer
-1,Omni-Sweep
-2, 
1,Harpoon
5,Spinning Cane
10,Rod Typhoon
16,Gust of Wind Dance
-1,Flower Storm
-2, 
-2, 
