RETAIL,,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,,
4075,false,5,8,-1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,
1.2,1.2,,,,,,,,,,,,,,,,,
1.4,1.4,,,,,,,,,,,,,,,,,
1.6,1.6,,,,,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2,additionSound3
224,16,11,2,30,20,40,0,0,2,5,7,16,32,0,11,"5,2","0,0",
192,19,13,2,30,20,0,0,0,0,0,0,18,32,18,0,"10,12","3,10",
192,27,20,1,30,10,0,0,0,14,12,12,12,32,0,0,"13,3","2,1","7,0"
192,16,11,2,40,10,0,0,0,4,5,1,22,32,0,0,"8,4","0,2",
192,22,17,2,40,10,0,0,0,10,5,3,18,32,0,0,"9,11","1,9",
192,17,13,1,40,10,0,0,0,0,14,6,22,32,0,0,"5,2","2,0",
192,20,15,2,40,10,0,0,0,11,7,14,20,32,19,0,"10,14","0,12",
192,26,7,1,50,10,0,4,0,0,26,10,10,32,0,0,"11,7","3,5","7,0"
