RETAIL,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,
4071,true,5,2,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,
1.1,1,,,,,,,,,,,,,,,,
1.2,1,,,,,,,,,,,,,,,,
1.3,1,,,,,,,,,,,,,,,,
1.5,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2
192,8,2,3,100,30,36,0,5,0,1,0,19,32,0,11,"5,2","0,0"
192,44,15,1,50,5,0,4,0,3,10,3,10,32,0,0,"8,15","3,13"
