RETAIL,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,
4073,true,5,5,7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,
1.2,1,,,,,,,,,,,,,,,,
1.4,1,,,,,,,,,,,,,,,,
1.6,1,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2
192,17,11,3,60,10,38,0,2,2,5,7,16,32,0,11,"5,2","0,0"
192,19,14,2,60,10,0,0,-2,11,7,3,15,32,0,0,"8,22","1,20"
192,13,7,3,60,5,0,0,-1,0,9,11,12,32,0,0,"8,4","2,2"
192,16,11,2,60,5,0,0,-1,0,12,11,14,32,0,0,"9,3","2,1"
192,17,13,1,60,5,0,4,-8,0,17,13,18,32,0,0,"11,3","3,1"
