RETAIL,,,,,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,,,,,
4072,true,5,3,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,
1.1,1,,,,,,,,,,,,,,,,,,,,
1.2,1,,,,,,,,,,,,,,,,,,,,
1.3,1,,,,,,,,,,,,,,,,,,,,
1.5,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2,additionSound3,additionSound4,additionSound5,additionSound6
192,17,11,3,50,15,37,0,2,2,5,7,16,32,0,11,"5,2","0,0",,,,
192,22,16,3,50,10,0,0,0,0,17,5,16,32,0,0,"9,19","1,17","7,13","7,15","10,4","3,2"
192,25,20,1,100,10,0,4,-3,10,8,5,17,32,0,0,"10,4","3,2",,,,
