Level,Speed,AT,MAT,DF,MDF,HP,EXP
Lv1,50,2,3,4,4,30,20
Lv2,0,2,2,1,1,30,43
Lv3,0,2,2,2,2,30,102
Lv4,0,2,2,3,2,30,200
Lv5,0,3,2,2,2,30,203
Lv6,0,2,2,2,2,30,548
Lv7,0,2,2,2,2,30,819
Lv8,0,3,2,3,2,30,1166
Lv9,0,2,2,2,2,30,1600
Lv10,0,2,2,2,2,30,2129
Lv11,0,3,3,3,3,30,2764
Lv12,0,2,2,2,2,83,3515
Lv13,0,3,3,3,3,83,4390
Lv14,0,2,2,2,3,83,5400
Lv15,0,3,3,3,2,83,6553
Lv16,0,2,2,2,3,83,7860
Lv17,0,3,3,3,3,83,9331
Lv18,0,2,2,2,2,83,10974
Lv19,0,3,3,3,3,83,12800
Lv20,0,2,2,2,3,83,14817
Lv21,0,3,3,3,3,83,17036
Lv22,0,2,2,2,2,112,19467
Lv23,0,3,3,3,2,112,22118
Lv24,0,2,2,2,2,112,25000
Lv25,0,3,3,3,3,112,28121
Lv26,0,2,2,2,2,112,31492
Lv27,0,3,3,3,2,112,35123
Lv28,0,2,2,2,2,112,39022
Lv29,0,3,3,3,2,112,43200
Lv30,0,2,2,2,2,112,47665
Lv31,0,3,3,3,3,112,52428
Lv32,0,2,2,2,2,119,57499
Lv33,0,3,3,3,3,119,62886
Lv34,0,2,2,2,3,119,68600
Lv35,0,3,3,3,2,119,74649
Lv36,0,2,2,2,2,119,81044
Lv37,0,3,3,3,3,119,87795
Lv38,0,2,2,2,2,119,94910
Lv39,0,3,3,3,3,119,102400
Lv40,0,2,2,2,3,119,110273
Lv41,0,3,3,3,3,119,118540
Lv42,0,2,2,2,2,259,127211
Lv43,0,3,3,2,2,259,136294
Lv44,0,2,2,3,2,259,145800
Lv45,0,3,3,2,3,259,155737
Lv46,0,2,2,3,3,259,166116
Lv47,0,3,3,2,2,259,176947
Lv48,0,2,2,3,3,259,188238
Lv49,0,3,3,2,2,259,200000
Lv50,0,2,2,3,2,259,215302
Lv51,0,3,3,2,3,259,231216
Lv52,0,2,2,3,2,160,247754
Lv53,0,3,3,3,3,160,264928
Lv54,0,3,3,3,3,160,282750
Lv55,0,3,3,3,3,160,301232
Lv56,0,3,3,3,3,160,320386
Lv57,0,3,3,3,3,160,340224
Lv58,0,3,3,3,3,160,360758
Lv59,0,3,3,3,3,160,382000
Lv60,0,3,3,2,0,160,0
