RETAIL,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,
4031,true,5,2,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,
1.1,1,,,,,,,,,,,,,,,,
1.2,1,,,,,,,,,,,,,,,,
1.3,1,,,,,,,,,,,,,,,,
1.5,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2
192,15,9,3,100,30,0,0,0,0,8,5,12,32,0,11,"4,9","0,7"
192,19,11,1,50,5,0,4,0,8,3,3,10,32,0,0,"5,11","3,9"
