Level,Speed,AT,MAT,DF,MDF,HP,EXP
1,60,3,2,4,2,27,15
2,0,3,1,2,1,27,32
3,0,3,2,2,2,27,77
4,0,4,1,2,1,27,152
5,0,3,2,2,1,27,262
6,0,4,2,3,2,27,417
7,0,3,1,2,1,27,622
8,0,4,2,2,1,27,886
9,0,3,1,2,2,27,1216
10,0,4,2,2,1,27,1618
11,0,3,2,3,1,27,2101
12,0,4,1,2,2,74,2671
13,0,4,2,3,2,75,3336
14,0,3,2,2,2,75,4104
15,0,4,2,3,2,75,4980
16,0,4,2,2,1,75,5974
17,0,4,2,3,2,75,7091
18,0,3,2,2,2,74,8340
19,0,4,2,3,2,75,9728
20,0,4,1,2,2,75,11261
21,0,4,2,3,1,100,12947
22,0,3,2,2,2,100,14795
23,0,4,2,3,2,100,16809
24,0,4,2,2,1,100,19000
25,0,4,2,3,2,100,21372
26,0,3,2,2,1,100,23934
27,0,4,2,3,2,100,26693
28,0,4,1,2,1,100,29657
29,0,4,2,3,2,100,32832
30,0,3,2,2,1,100,36225
31,0,4,2,3,2,100,39845
32,0,4,2,2,2,100,43699
33,0,4,2,3,1,100,47793
34,0,3,2,2,2,100,52136
35,0,4,2,3,2,100,56733
36,0,4,1,2,1,100,61594
37,0,4,2,3,2,100,66724
38,0,3,2,2,2,100,72131
39,0,4,2,3,2,100,77824
40,0,4,2,2,2,100,83807
41,0,4,2,3,2,100,90091
42,0,3,2,2,1,233,96680
43,0,4,2,2,2,233,103583
44,0,4,1,3,1,233,110808
45,0,4,2,2,2,233,118360
46,0,3,2,3,1,233,126248
47,0,4,2,2,2,233,134479
48,0,4,2,3,1,233,143061
49,0,4,2,2,2,233,152000
50,0,3,2,3,2,233,163629
51,0,4,2,2,1,234,175724
52,0,4,2,3,2,144,188293
53,0,4,2,3,2,144,201345
54,0,5,2,2,2,144,214890
55,0,4,2,3,2,144,228936
56,0,4,2,3,2,144,243493
57,0,4,3,2,2,144,258570
58,0,4,2,3,1,144,274176
59,0,4,2,3,1,144,290320
60,0,5,2,3,2,144,0
