Level,Speed,AT,MAT,DF,MDF,HP,EXP
1,30,4,2,4,3,45,15
2,0,5,1,4,1,44,33
3,0,5,1,5,1,45,78
4,0,4,1,5,1,44,153
5,0,5,1,5,1,45,264
6,0,5,1,5,1,44,419
7,0,5,1,4,1,45,626
8,0,5,1,5,1,44,892
9,0,5,1,5,1,45,1224
10,0,5,1,5,1,44,1629
11,0,5,1,5,1,45,2115
12,0,4,1,5,1,126,2689
13,0,5,1,5,1,126,3358
14,0,4,1,5,1,126,4131
15,0,5,2,5,2,126,5013
16,0,5,1,5,1,126,6013
17,0,4,1,5,1,126,7138
18,0,5,2,5,2,126,8395
19,0,4,1,5,1,126,9792
20,0,5,1,5,1,126,11335
21,0,5,2,5,2,126,13033
22,0,5,1,5,0,165,14892
23,0,5,1,5,1,165,16920
24,0,5,1,5,1,165,19125
25,0,5,1,5,1,165,21513
26,0,5,2,6,1,165,24091
27,0,5,1,5,0,165,26869
28,0,5,1,5,1,165,29852
29,0,5,1,5,1,165,33048
30,0,5,1,5,1,165,36464
31,0,5,2,6,2,165,40108
32,0,5,1,4,2,180,43986
33,0,5,1,4,2,180,48108
34,0,5,1,4,2,180,52479
35,0,6,2,4,2,180,57106
36,0,6,1,4,2,180,61999
37,0,5,1,4,2,180,67163
38,0,6,2,4,2,180,72606
39,0,5,1,4,2,180,78336
40,0,6,1,4,3,180,84359
41,0,6,2,5,3,180,90683
42,0,3,1,4,0,380,97316
43,0,4,1,4,1,380,104265
44,0,4,1,4,0,380,111537
45,0,4,1,5,1,380,119139
46,0,4,2,4,0,380,127079
47,0,3,1,5,1,380,135364
48,0,4,1,4,0,380,144002
49,0,4,1,5,1,380,153000
50,0,4,1,4,0,380,164706
51,0,4,2,5,1,380,176880
52,0,1,1,1,1,111,189531
53,0,1,1,2,2,111,202669
54,0,2,2,2,2,111,216303
55,0,1,1,1,2,111,230442
56,0,2,2,2,3,111,245095
57,0,1,1,2,2,111,260271
58,0,2,2,1,2,111,275979
59,0,1,1,2,2,111,292230
60,0,2,2,2,3,111,0
