Level,Speed,AT,MAT,DF,MDF,HP,EXP
1,45,3,2,5,2,36,18
2,0,3,0,3,1,36,38
3,0,3,1,3,0,36,92
4,0,4,1,3,1,36,180
5,0,3,0,3,0,36,200
6,0,4,1,2,1,36,493
7,0,3,1,3,0,36,737
8,0,4,0,3,1,36,1050
9,0,3,1,3,0,36,1200
10,0,4,1,3,1,36,1597
11,0,3,1,3,1,36,2073
12,0,4,2,3,2,99,2636
13,0,4,3,4,3,100,3292
14,0,3,3,3,2,99,4050
15,0,4,3,3,3,100,4915
16,0,4,2,4,2,100,5895
17,0,4,3,3,3,100,6998
18,0,3,3,3,3,100,8230
19,0,4,3,4,2,99,9600
20,0,4,2,3,3,100,11113
21,0,4,3,3,2,100,12777
22,0,3,2,4,2,134,14600
23,0,4,2,3,2,134,16588
24,0,4,2,3,1,135,18750
25,0,4,2,4,2,134,21091
26,0,3,2,3,1,135,23619
27,0,4,2,3,2,134,26342
28,0,4,1,4,1,134,29266
29,0,4,2,3,2,135,32400
30,0,3,2,3,1,135,35749
31,0,4,2,4,2,134,39321
32,0,4,2,3,2,142,43124
33,0,4,2,3,1,143,47164
34,0,3,2,4,2,143,51450
35,0,4,2,3,2,143,55987
36,0,4,1,3,1,143,60783
37,0,4,2,4,2,142,65846
38,0,3,2,3,1,143,71182
39,0,4,2,3,2,143,76800
40,0,4,2,4,2,143,82705
41,0,4,2,3,2,143,88905
42,0,3,2,3,1,310,95408
43,0,4,2,4,2,311,102220
44,0,4,1,3,1,311,109350
45,0,4,2,3,2,311,116803
46,0,3,2,4,1,311,124587
47,0,4,2,3,2,310,132710
48,0,4,2,3,1,311,141178
49,0,4,2,4,2,311,150000
50,0,3,2,3,2,311,161476
51,0,4,2,3,1,311,173412
52,0,4,2,4,2,192,185815
53,0,4,2,3,2,192,198696
54,0,5,2,4,2,192,212062
55,0,4,2,4,2,192,225924
56,0,4,2,3,2,192,240289
57,0,4,3,4,2,192,255168
58,0,4,2,3,2,192,270568
59,0,4,2,4,1,192,286500
60,0,5,2,3,2,192,0
