Level,Speed,AT,MAT,DF,MDF,HP,EXP
1,70,2,3,2,4,18,14
2,0,1,3,1,3,18,32
3,0,2,3,1,3,18,76
4,0,2,3,1,3,18,149
5,0,1,3,1,3,18,257
6,0,2,4,2,4,18,408
7,0,2,3,1,3,18,610
8,0,1,3,1,3,18,868
9,0,2,3,2,3,18,1192
10,0,2,3,1,3,18,1586
11,0,2,3,2,4,18,2059
12,0,1,4,1,3,49,2618
13,0,2,4,2,3,50,3270
14,0,2,4,2,3,50,4023
15,0,2,4,1,3,50,4882
16,0,2,4,2,3,50,5856
17,0,2,4,2,3,50,6951
18,0,2,4,1,3,50,8175
19,0,2,4,2,3,50,9536
20,0,2,4,2,3,50,11039
21,0,2,4,2,3,50,12692
22,0,1,3,1,3,67,14503
23,0,2,4,2,4,67,16478
24,0,2,4,2,3,67,18625
25,0,2,4,1,4,67,20950
26,0,2,4,2,3,67,23462
27,0,1,4,2,3,67,26166
28,0,2,3,1,4,67,29071
29,0,2,4,2,3,67,32184
30,0,2,4,2,4,68,35510
31,0,2,4,2,3,68,39059
32,0,1,3,1,3,71,42836
33,0,2,4,2,3,71,46850
34,0,2,4,1,3,72,51107
35,0,2,4,2,3,71,55613
36,0,2,4,1,3,72,60378
37,0,2,4,1,3,71,65407
38,0,2,4,2,3,72,70708
39,0,2,4,1,3,72,76288
40,0,2,4,2,3,72,82153
41,0,2,4,2,4,72,88312
42,0,1,3,1,3,155,94772
43,0,2,4,2,4,155,101539
44,0,2,3,2,3,155,108621
45,0,2,4,2,3,155,116024
46,0,2,4,2,3,155,123757
47,0,2,4,2,4,155,131825
48,0,2,3,2,3,155,140237
49,0,2,4,2,4,155,149000
50,0,2,4,2,3,155,160399
51,0,2,4,2,4,156,172255
52,0,2,4,2,3,96,184576
53,0,2,4,2,3,96,197371
54,0,2,5,1,4,96,210648
55,0,2,4,2,3,96,224417
56,0,2,4,2,3,96,238687
57,0,2,5,1,4,96,253466
58,0,2,4,2,3,96,268764
59,0,2,4,2,4,96,284590
60,0,3,5,2,3,96,0
