Level,Speed,AT,MAT,DF,MDF,HP,EXP
1,65,1,3,1,3,24,17
2,0,1,3,1,3,24,36
3,0,1,3,2,3,24,87
4,0,2,3,1,3,24,170
5,0,1,4,2,3,24,180
6,0,2,3,2,4,24,466
7,0,1,3,1,3,24,696
8,0,1,4,2,3,24,863
9,0,2,3,1,3,24,1184
10,0,1,3,2,3,24,1575
11,0,2,4,2,4,24,2045
12,0,1,6,1,6,66,2601
13,0,1,6,2,7,66,3248
14,0,1,7,2,7,67,3996
15,0,1,6,1,6,66,4849
16,0,1,7,2,7,67,5816
17,0,1,6,2,7,66,6905
18,0,1,6,1,6,66,8121
19,0,1,7,2,7,67,9472
20,0,1,6,2,7,66,10965
21,0,1,5,2,5,87,12607
22,0,1,5,1,5,89,14405
23,0,1,5,2,5,90,16367
24,0,1,5,2,5,89,18500
25,0,1,5,1,5,90,20809
26,0,1,5,2,5,89,23304
27,0,1,5,2,4,89,25991
28,0,1,5,1,5,90,28876
29,0,1,5,2,5,89,31968
30,0,1,5,2,5,90,35272
31,0,1,6,2,5,90,38797
32,0,1,4,1,5,95,42549
33,0,2,5,2,5,95,46535
34,0,1,5,1,5,95,50764
35,0,2,5,2,5,95,55240
36,0,1,5,2,5,95,59973
37,0,1,5,1,5,95,64968
38,0,2,5,2,5,95,70233
39,0,1,5,1,5,95,75776
40,0,2,5,2,5,95,81602
41,0,2,4,2,4,207,87720
42,0,1,4,2,4,207,94136
43,0,2,4,2,4,207,100857
44,0,1,4,2,4,207,107892
45,0,1,4,1,4,207,115245
46,0,2,4,2,4,207,122926
47,0,1,4,2,4,207,130940
48,0,2,4,2,4,207,139296
49,0,1,4,2,4,207,148000
50,0,1,4,2,4,207,159323
51,0,2,4,2,4,208,171099
52,0,1,1,1,1,128,183337
53,0,1,2,2,1,128,196046
54,0,1,2,2,1,128,209235
55,0,2,1,2,1,128,222911
56,0,1,2,1,1,128,237085
57,0,1,2,2,1,128,251765
58,0,1,1,2,1,128,266960
59,0,1,2,2,1,128,282680
60,0,2,2,2,2,128,0
