Level,Speed,AT,MAT,DF,MDF,HP,EXP
1,55,3,6,5,5,21,15
2,0,3,4,3,2,21,33
3,0,3,4,3,3,21,78
4,0,4,4,3,3,21,154
5,0,3,4,3,2,21,266
6,0,4,5,2,3,21,422
7,0,3,4,3,3,21,630
8,0,4,4,3,2,21,898
9,0,3,4,3,3,21,1232
10,0,4,4,3,2,21,1639
11,0,3,5,3,2,21,2128
12,0,1,1,1,3,58,2706
13,0,1,1,1,2,58,3380
14,0,1,1,1,2,58,4158
15,0,1,2,0,2,58,5046
16,0,1,1,1,2,58,6052
17,0,1,1,1,2,58,7185
18,0,1,2,1,2,58,8450
19,0,1,1,1,2,58,9856
20,0,1,1,1,3,58,11409
21,0,1,2,1,3,59,13118
22,0,0,1,0,2,78,14989
23,0,1,1,1,2,78,17031
24,0,1,1,1,2,79,19250
25,0,1,2,1,2,79,21653
26,0,1,1,0,2,79,24249
27,0,1,1,1,2,78,27044
28,0,1,2,1,2,79,30047
29,0,1,1,0,2,78,33264
30,0,1,1,0,2,78,36702
31,0,1,2,1,3,79,40370
32,0,2,2,2,2,83,44274
33,0,2,3,1,3,83,48422
34,0,1,2,2,3,83,52822
35,0,2,3,2,3,83,57480
36,0,2,2,1,3,83,62404
37,0,2,3,2,3,83,67602
38,0,2,2,2,3,83,73081
39,0,2,3,1,3,83,78848
40,0,2,2,2,3,83,84910
41,0,2,3,2,2,181,91276
42,0,1,2,1,2,181,97952
43,0,2,3,2,2,181,104946
44,0,2,2,2,2,181,112266
45,0,2,2,2,2,181,119917
46,0,2,2,2,2,181,127909
47,0,2,3,2,2,181,136249
48,0,2,2,1,3,181,144943
49,0,2,3,2,2,181,154000
50,0,1,2,2,2,181,165782
51,0,2,3,1,3,182,178036
52,0,2,2,2,2,112,190770
53,0,2,3,2,3,112,203994
54,0,3,3,2,3,112,217717
55,0,2,3,1,3,112,231948
56,0,2,3,2,3,112,246697
57,0,2,3,2,3,112,261972
58,0,2,3,2,3,112,277783
59,0,2,3,1,3,112,294140
60,0,2,3,1,3,112,0
