RETAIL,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,
0,false,5,5,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2
192,0,0,0,100,0,18,0,0,0,0,0,12,0,0,0,"4,9","0,7"
192,0,0,0,10,0,0,0,0,0,0,0,12,0,0,0,"10,3","1,1"
192,0,0,0,20,0,0,0,0,0,0,0,8,0,0,0,"4,9","0,7"
192,0,0,0,30,0,0,0,0,0,0,0,12,0,0,0,"10,3","0,1"
192,0,0,0,40,0,0,0,0,0,0,0,9,32,0,0,"11,42","3,40"
192,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,"4,9","0,7"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,10","1,8"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,11","2,9"
