RETAIL,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,
4073,true,5,5,7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,
1.08,1.5,,,,,,,,,,,,,,,,
1.16,2,,,,,,,,,,,,,,,,
1.24,2.5,,,,,,,,,,,,,,,,
1.35,3.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2
192,31,22,2,30,6,0,0,5,0,20,0,16,32,0,0,"5,2","0,0"
192,11,4,3,30,6,0,0,0,0,0,0,16,32,0,0,"8,22","1,20"
192,8,3,2,30,6,0,0,0,0,1,3,19,32,0,0,"8,4","2,2"
192,36,3,1,30,6,0,4,0,0,0,0,18,32,0,0,"9,3","2,1"
192,36,3,1,30,6,0,4,0,0,0,0,18,32,0,0,"11,3","3,1"
