RETAIL,,,,,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,,,,,
4072,true,5,3,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,
1.25,1,,,,,,,,,,,,,,,,,,,,
1.5,1,,,,,,,,,,,,,,,,,,,,
1.75,1,,,,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2,additionSound3,additionSound4,additionSound5,additionSound6
192,8,2,3,50,15,37,0,5,0,1,0,19,32,0,11,"5,2","0,0",,,,
192,24,19,3,25,10,0,0,4,0,4,0,8,32,0,0,"9,19","1,17","7,13","7,15","10,4","3,2"
192,20,4,1,25,10,0,4,0,0,0,0,6,32,0,0,"10,4","3,2",,,,
