RETAIL,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,
4035,true,5,6,22,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,
1,1.5,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,
1,2.5,,,,,,,,,,,,,,,,
1,3.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2
192,15,10,2,20,10,0,0,0,0,0,0,11,32,0,0,"4,9","0,7"
192,8,3,2,20,10,0,0,0,0,0,0,10,32,0,0,"5,10","2,8"
192,8,3,2,20,10,0,0,0,0,0,0,7,32,0,0,"7,3","3,1"
192,8,3,2,10,10,0,0,0,0,0,0,12,32,0,0,"8,3","3,1"
192,10,2,1,10,10,0,4,0,0,0,0,11,32,0,0,"5,3","3,1"
192,10,2,1,50,5,0,4,0,0,0,0,11,32,0,0,"9,2","3,0"
