RETAIL,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,
4068,false,5,8,-1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,
1.15,1.5,,,,,,,,,,,,,,,,
1.3,2,,,,,,,,,,,,,,,,
1.45,2.5,,,,,,,,,,,,,,,,
1.67,3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2
224,14,9,2,30,8,34,0,0,0,0,0,8,32,0,11,"4,8","0,6"
192,18,8,1,30,6,0,0,0,5,3,4,5,0,0,0,"9,8","1,6"
192,12,3,2,30,6,0,0,0,0,2,1,10,0,0,0,"8,2","2,0"
192,11,7,1,40,6,0,0,0,5,2,3,10,32,0,0,"5,7","0,5"
192,16,6,2,40,6,0,0,0,0,0,0,8,32,0,0,"9,5","2,3"
192,8,3,1,40,6,0,0,-3,0,3,4,6,32,0,0,"8,3","1,1"
192,19,11,2,40,6,0,0,0,4,6,7,12,32,0,0,"11,10","2,8"
192,37,3,1,50,6,0,4,-7,0,2,15,10,32,0,0,"10,3","3,1"
