Level,Speed,AT,MAT,DF,MDF,HP,EXP
1,30,4,2,4,3,45,20
2,0,5,1,4,1,38,43
3,0,5,1,5,1,38,104
4,0,4,1,4,1,39,203
5,0,5,1,5,1,38,351
6,0,5,1,5,1,39,558
7,0,5,1,4,1,38,833
8,0,5,1,5,1,38,1186
9,0,5,1,4,1,39,1627
10,0,5,1,5,1,38,2165
11,0,5,1,5,1,39,2811
12,0,4,1,5,1,107,3574
13,0,5,1,5,1,108,4465
14,0,4,1,5,1,108,5491
15,0,5,2,5,1,108,6665
16,0,5,1,6,1,108,7994
17,0,4,1,5,1,108,9489
18,0,5,2,5,1,108,11160
19,0,4,1,5,1,108,13017
20,0,5,1,5,1,108,15069
21,0,5,2,6,1,108,17326
22,0,4,1,5,1,145,19798
23,0,5,1,5,1,146,22494
24,0,5,1,5,1,145,25425
25,0,5,1,5,1,146,28599
26,0,5,2,6,1,146,32028
27,0,5,1,5,1,145,35720
28,0,5,1,5,1,146,39685
29,0,5,1,5,1,145,43934
30,0,5,1,5,1,146,48475
31,0,5,2,6,2,146,53320
32,0,5,1,3,1,154,58476
33,0,6,1,4,1,155,63955
34,0,5,1,4,2,155,69766
35,0,6,2,3,1,154,75918
36,0,6,1,4,2,155,82422
37,0,5,1,4,1,155,89287
38,0,6,2,3,2,154,96523
39,0,5,1,4,1,155,104140
40,0,6,1,4,2,155,112148
41,0,6,2,3,1,155,120555
42,0,2,1,4,2,336,129373
43,0,3,1,3,1,337,138611
44,0,2,1,4,2,337,148278
45,0,3,1,4,1,336,158385
46,0,3,2,3,2,337,168940
47,0,2,1,4,2,337,179955
48,0,3,1,3,1,336,191438
49,0,2,1,4,2,337,203400
50,0,3,1,4,2,337,218962
51,0,3,2,3,1,337,235146
52,0,2,1,3,2,208,251965
53,0,3,1,3,2,208,269431
54,0,3,2,4,1,208,287556
55,0,3,1,3,2,208,306352
56,0,2,2,3,2,208,325832
57,0,3,1,3,1,208,346007
58,0,3,2,3,2,208,366890
59,0,3,1,3,2,208,388494
60,0,2,2,3,2,208,0
