RETAIL,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,
4039,true,5,2,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,
1.1,1.1,,,,,,,,,,,,,,,,
1.2,1.2,,,,,,,,,,,,,,,,
1.3,1.3,,,,,,,,,,,,,,,,
1.5,1.45,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2
192,25,13,1,25,5,0,4,-8,0,8,12,14,32,0,0,"5,11","0,9"
192,25,13,1,50,5,0,4,-7,0,8,12,14,32,0,0,"8,13","3,11"
