RETAIL,,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,,
4080,true,5,4,21,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,
1.08,1.25,,,,,,,,,,,,,,,,,
1.16,1.5,,,,,,,,,,,,,,,,,
1.24,1.75,,,,,,,,,,,,,,,,,
1.35,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2,additionSound3
192,7,1,3,50,20,24,0,0,0,0,0,9,32,24,13,"4,1","0,0",
192,26,8,2,50,5,0,0,0,6,12,8,10,32,0,0,"8,8","1,6",
192,11,3,3,25,5,0,0,0,0,3,3,9,32,0,0,"15,3","0,1",
192,71,16,2,25,5,0,4,-6,0,6,10,6,32,0,0,"14,16","3,14","7,26"
