RETAIL,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,
4058,false,5,8,-1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,
1.4,1,,,,,,,,,,,,,,,,
1.8,1,,,,,,,,,,,,,,,,
2.2,1,,,,,,,,,,,,,,,,
2.5,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2
192,12,7,2,30,20,0,0,0,0,0,0,10,32,0,0,"5,5","0,3"
192,14,9,1,30,10,0,0,0,6,3,8,10,32,0,0,"9,7","1,5"
192,19,14,2,30,10,0,0,0,16,2,8,10,32,0,0,"4,9","3,7"
192,23,14,2,20,10,0,0,3,12,3,10,10,32,0,0,"8,14","1,12"
192,30,10,1,20,10,0,0,-4,10,11,3,7,32,0,0,"7,14","0,12"
192,20,11,2,20,10,0,0,5,8,4,12,9,32,0,0,"8,10","2,8"
192,26,4,1,20,10,0,4,12,0,0,0,7,32,0,0,"9,11","1,9"
192,26,4,1,50,10,0,4,12,0,0,0,7,32,0,0,"10,4","2,2"
