EXP,Gold,Drop Rate,Item,Name
12,2,8,dragoon_modifier:pellet,Mantis
40,6,8,dragoon_modifier:meteor_fall,Scissorhands
99,10,8,dragoon_modifier:mind_purifier,Spinninghead
168,17,8,dragoon_modifier:spirit_potion,Sandworm
14,3,10,dragoon_modifier:burn_out,Sea Dragon
88,11,8,dragoon_modifier:spear_frost,Land Skater
110,11,8,dragoon_modifier:total_vanishing,Beastie Dragon
216,20,8,dragoon_modifier:depetrifier,Manticore
4,2,10,dragoon_modifier:detonate_rock,Goblin
180,16,2,dragoon_modifier:heavy_mace,Minotaur
204,18,2,dragoon_modifier:spear_of_terror,Hyper Skeleton
150,17,8,dragoon_modifier:depetrifier,Basilisk
84,10,2,dragoon_modifier:knight_shield,Flabby Troll
12,4,8,dragoon_modifier:angels_prayer,Evil Spider
40,6,8,dragoon_modifier:poison_needle,Spider Urchin
18,3,2,dragoon_modifier:fake_power_wrist,Strong Man
48,7,8,dragoon_modifier:angels_prayer,Dragonfly
20,3,8,dragoon_modifier:burn_out,Hell Hound
66,10,8,dragoon_modifier:total_vanishing,Death
18,5,2,dragoon_modifier:beast_fang,Lizard Man
144,17,8,dragoon_modifier:healing_potion,White Ape
5,2,10,dragoon_modifier:healing_potion,Assassin Cock
15,4,20,dragoon_modifier:spear,Merman
70,6,8,dragoon_modifier:mind_purifier,Glare
3,1,10,dragoon_modifier:healing_potion,Berserk Mouse
180,20,2,dragoon_modifier:knight_shield,Dragon Soldier
48,5,8,dragoon_modifier:stunning_hammer,Earth Shaker
8,3,8,dragoon_modifier:healing_potion,Vampire Kiwi
11,2,10,dragoon_modifier:body_purifier,Myconido
44,8,8,dragoon_modifier:down_burst,Roc
108,14,8,dragoon_modifier:healing_potion,Gnome
132,14,8,dragoon_modifier:attack_ball,Bowling
110,9,8,dragoon_modifier:fatal_blizzard,Freeze Knight
13,4,10,dragoon_modifier:spirit_cloak,Fire Spirit
400,17,8,dragoon_modifier:flash_hall,Mad Skull
16,4,10,dragoon_modifier:body_purifier,Run Fast
112,10,8,dragoon_modifier:body_purifier,Canbria Dayfly
120,15,8,dragoon_modifier:down_burst,Wyvern
4,3,10,dragoon_modifier:pellet,Trent
117,7,8,dragoon_modifier:healing_fog,Spring Hitter
160,13,8,dragoon_modifier:healing_breeze,Guillotine
143,10,8,dragoon_modifier:total_vanishing,Terminator
0,200,100,dragoon_modifier:spirit_potion,OOPARTS
81,8,8,dragoon_modifier:sun_rhapsody,Fairy
90,12,2,dragoon_modifier:dancers_ring,Puck
11,3,8,dragoon_modifier:angels_prayer,Mole
8,2,8,dragoon_modifier:healing_potion,Screaming Bat
130,14,2,dragoon_modifier:platinum_collar,Succubus
132,15,8,dragoon_modifier:stunning_hammer,Mammoth
135,14,2,dragoon_modifier:beast_fang,MetalFang
96,7,8,dragoon_modifier:rave_twister,Windy Weasel
96,20,8,dragoon_modifier:attack_ball,Wounded Bear
32,5,8,dragoon_modifier:mind_purifier,Erupting Chick
64,8,8,dragoon_modifier:angels_prayer,Flying Rat
3000,0,10,dragoon_modifier:rainbow_dress,Rainbow Bird
20,4,8,dragoon_modifier:detonate_rock,Living Statue
165,8,8,dragoon_modifier:body_purifier,Madman
120,12,2,dragoon_modifier:giganto_ring,Wildman
17,5,8,dragoon_modifier:dark_mist,Gargoyle
10,2,8,dragoon_modifier:spinning_gale,Crescent Bee
120,8,10,dragoon_modifier:healing_fog,Jelly
140,14,8,dragoon_modifier:attack_ball,Spiky Beetle
180,11,10,dragoon_modifier:mind_purifier,Slug
104,12,8,dragoon_modifier:angels_prayer,Witch
10,3,2,dragoon_modifier:poison_guard,Ugly Balloon
156,17,8,dragoon_modifier:flash_hall,Maximum Volt
22,9,2,dragoon_modifier:sapphire_pin,Crystal Golem
99,13,2,dragoon_modifier:guard_badge,Rocky Turtle
17,2,10,dragoon_modifier:pellet,Crocodile
36,7,8,dragoon_modifier:healing_potion,Frilled Lizard
72,8,2,dragoon_modifier:magical_hat,Magician Bogy
2000,40,8,dragoon_modifier:gravity_grabber,Triceratops
165,18,8,dragoon_modifier:frozen_jet,Stern Fish
88,10,8,dragoon_modifier:recovery_ball,Forest Runner
10,2,10,dragoon_modifier:healing_potion,Magma Fish
150,13,8,dragoon_modifier:body_purifier,Scud Shark
63,8,8,dragoon_modifier:healing_potion,Screw Shell
144,8,8,dragoon_modifier:healing_breeze,Potbelly
187,16,2,dragoon_modifier:soul_eater,Loner Knight
55,5,2,dragoon_modifier:energy_girdle,Berserker
176,18,2,dragoon_modifier:sages_cloak,Professor
638,28,8,dragoon_modifier:spectral_flash,Psyche Druid
60,4,2,dragoon_modifier:bandits_ring,Gangster
50,6,8,dragoon_modifier:pellet,Crafty Thief
153,13,8,dragoon_modifier:mind_purifier,Undead
60,7,2,dragoon_modifier:broad_sword,Skeleton
48,4,0,Nothing,Will-o'-Wisp
300,0,100,dragoon_modifier:night_raid,Cursed Jar
20,8,8,dragoon_modifier:angels_prayer,Man Eating Bud
126,12,15,dragoon_modifier:recovery_ball,Cactus
15,3,8,dragoon_modifier:sun_rhapsody,Mandrake
77,11,8,dragoon_modifier:spirit_potion,Mermaid
17,3,8,dragoon_modifier:sun_rhapsody,Salamander
380,17,2,dragoon_modifier:healing_rain,Unicorn
10,2,10,dragoon_modifier:dark_mist,Orc
80,12,8,dragoon_modifier:depetrifier,Dark Elf
100,9,8,dragoon_modifier:mind_purifier,Baby Dragon
192,16,8,dragoon_modifier:panic_bell,Harpy
162,17,2,dragoon_modifier:dancers_boots,Cute Cat
32,8,2,dragoon_modifier:bemusing_arrow,Arrow Shooter
14,2,8,dragoon_modifier:mind_purifier,Red Hot
170,10,8,dragoon_modifier:midnight_terror,Specter
30,10,8,dragoon_modifier:gushing_magma,Sandora Elite
24,5,20,dragoon_modifier:healing_potion,Knight of Sandora
11,2,10,dragoon_modifier:body_purifier,Slime
16,3,8,dragoon_modifier:mind_purifier,Fowl Fighter
36,4,8,dragoon_modifier:panic_bell,Killer Bird
14,2,8,dragoon_modifier:body_purifier,Plague Rat
38,4,8,dragoon_modifier:body_purifier,Stinger
40,7,2,dragoon_modifier:sachet,Piggy
56,5,8,dragoon_modifier:spear_frost,Sea Piranha
72,6,8,dragoon_modifier:body_purifier,Toad Stool
80,7,8,dragoon_modifier:gushing_magma,Mega Sea Dragon
90,13,8,dragoon_modifier:body_purifier,Deadly Spider
121,7,8,dragoon_modifier:spirit_potion,Icicle Ball
12,2,8,dragoon_modifier:mind_purifier,Tricky Bat
108,10,2,dragoon_modifier:bastard_sword,Mr.Bone
72,6,8,dragoon_modifier:healing_fog,Moss Dresser
144,8,8,dragoon_modifier:total_vanishing,Death Purger
154,7,8,dragoon_modifier:poison_needle,Scorpion
304,14,8,dragoon_modifier:frozen_jet,Trap Plant
135,10,8,dragoon_modifier:angels_prayer,Aqua King
128,10,8,dragoon_modifier:body_purifier,Sky Chaser
456,11,8,dragoon_modifier:down_burst,Air Combat
0,0,100,dragoon_modifier:ruby_ring,Treasure Jar
136,8,8,dragoon_modifier:recovery_ball,Human Hunter
198,14,10,dragoon_modifier:angels_prayer,Mountain Ape
360,14,8,dragoon_modifier:night_raid,Roulette Face
228,8,8,dragoon_modifier:burning_wave,Swift Dragon
20,5,2,dragoon_modifier:morning_star,Hellena Warden
25,10,50,dragoon_modifier:healing_potion,Sandora Soldier
14,3,8,dragoon_modifier:healing_potion,Sandora Soldier
11,4,10,dragoon_modifier:sun_rhapsody,Sandora Soldier
24,7,2,dragoon_modifier:spear,Senior Warden
6,3,0,Nothing,Hellena Warden
17,3,100,dragoon_modifier:attack_ball,Commander
1000,0,0,Nothing,Blue Bird
0,300,100,dragoon_modifier:phoenix_plume,Red Bird
0,100,10,dragoon_modifier:elude_cloak,Yellow Bird
1000,100,100,dragoon_modifier:moon_serenade,Lucky Jar
0,0,0,dragoon_modifier:broad_sword,??? (Terminator ?)
0,0,0,dragoon_modifier:broad_sword,???
0,0,0,dragoon_modifier:broad_sword,???
0,0,0,dragoon_modifier:broad_sword,Madman
165,8,8,dragoon_modifier:body_purifier,Madman
165,8,8,dragoon_modifier:body_purifier,Madman
14,2,8,dragoon_modifier:mind_purifier,Red Hot
14,2,8,dragoon_modifier:mind_purifier,Red Hot
11,2,10,dragoon_modifier:body_purifier,Madman
11,2,10,dragoon_modifier:body_purifier,Madman
13,4,2,dragoon_modifier:spirit_cloak,Fire Spirit
13,4,2,dragoon_modifier:spirit_cloak,Fire Spirit
170,10,8,dragoon_modifier:midnight_terror,Specter
170,10,8,dragoon_modifier:midnight_terror,Specter
48,4,0,Nothing,Will-o'-Wisp
48,4,0,Nothing,Will-o'-Wisp
0,0,0,dragoon_modifier:broad_sword,Will-o'-Wisp (No name)
10,2,10,dragoon_modifier:healing_potion,Magma Fish
10,2,10,dragoon_modifier:healing_potion,Magma Fish
0,0,0,dragoon_modifier:broad_sword,Magma Fish (No name)
17,3,8,dragoon_modifier:sun_rhapsody,Salamander (No name)
17,3,8,dragoon_modifier:sun_rhapsody,Salamander (No name)
0,0,0,dragoon_modifier:broad_sword,Crash
0,0,0,dragoon_modifier:broad_sword,Crash
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
