Slot1,Slot2,Slot3,Slot4,Slot5,Slot6,Slot7,Slot8,Slot9,Slot10,Slot11,Slot12,Slot13,Slot14,Slot15,Slot16,Slot17,Slot18,Slot19,Slot20,Slot21,Slot22,Slot23,Slot24,Slot25,Slot26,Slot27,Slot28,Slot29,Slot30,Slot31,Slot32,Name
dragoon_modifier:bastard_sword,dragoon_modifier:sparkle_arrow,dragoon_modifier:scale_armor,dragoon_modifier:leather_jacket,dragoon_modifier:sallet,dragoon_modifier:poison_guard,dragoon_modifier:panic_guard,dragoon_modifier:stun_guard,dragoon_modifier:bravery_amulet,dragoon_modifier:knight_shield,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:bale_equipment_shop
dragoon_modifier:healing_potion,dragoon_modifier:angels_prayer,dragoon_modifier:mind_purifier,dragoon_modifier:body_purifier,dragoon_modifier:spear_frost,dragoon_modifier:meteor_fall,dragoon_modifier:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:serdio_item_shop
dragoon_modifier:lance,dragoon_modifier:cape,dragoon_modifier:legend_casque,dragoon_modifier:active_ring,dragoon_modifier:protector,dragoon_modifier:panic_guard,dragoon_modifier:power_wrist,dragoon_modifier:wargod_calling,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:lohan_equipment_shop
dragoon_modifier:healing_potion,dragoon_modifier:sun_rhapsody,dragoon_modifier:angels_prayer,dragoon_modifier:mind_purifier,dragoon_modifier:body_purifier,dragoon_modifier:spinning_gale,dragoon_modifier:gushing_magma,dragoon_modifier:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:lohan_item_shop
dragoon_modifier:heat_blade,dragoon_modifier:long_bow,dragoon_modifier:armlet,dragoon_modifier:iron_kneepiece,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:kazas_equipment_shop
dragoon_modifier:healing_potion,dragoon_modifier:sun_rhapsody,dragoon_modifier:angels_prayer,dragoon_modifier:dark_mist,dragoon_modifier:fatal_blizzard,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:kazas_fort_item_shop
dragoon_modifier:shadow_cutter,dragoon_modifier:chain_mail,dragoon_modifier:soft_boots,dragoon_modifier:poison_guard,dragoon_modifier:active_ring,dragoon_modifier:protector,dragoon_modifier:panic_guard,dragoon_modifier:stun_guard,dragoon_modifier:bravery_amulet,dragoon_modifier:magic_ego_bell,dragoon_modifier:power_wrist,dragoon_modifier:knight_shield,dragoon_modifier:wargod_calling,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:fletz_equipment_shop
dragoon_modifier:healing_potion,dragoon_modifier:healing_breeze,dragoon_modifier:sun_rhapsody,dragoon_modifier:angels_prayer,dragoon_modifier:mind_purifier,dragoon_modifier:body_purifier,dragoon_modifier:trans_light,dragoon_modifier:black_rain,dragoon_modifier:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:fletz_item_shop
dragoon_modifier:silver_vest,dragoon_modifier:tiara,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:donau_equipment_shop
dragoon_modifier:healing_potion,dragoon_modifier:sun_rhapsody,dragoon_modifier:angels_prayer,dragoon_modifier:mind_purifier,dragoon_modifier:body_purifier,dragoon_modifier:rave_twister,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:donau_item_shop
