RETAIL,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,
4037,false,5,8,-1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,
1.2,1.1,,,,,,,,,,,,,,,,
1.4,1.2,,,,,,,,,,,,,,,,
1.6,1.3,,,,,,,,,,,,,,,,
1.8,1.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2
224,14,9,2,40,20,6,0,0,0,8,5,12,32,0,11,"4,9","0,7"
192,23,18,2,30,20,0,0,0,0,0,0,9,32,0,0,"8,18","1,16"
192,10,6,1,30,10,0,0,0,3,2,1,7,32,0,0,"5,6","2,4"
192,12,7,2,30,10,0,0,0,0,0,0,9,32,0,0,"7,7","1,5"
192,20,15,2,30,10,0,0,0,0,13,4,13,32,0,0,"5,15","3,13"
192,12,8,1,30,10,0,0,0,0,0,0,11,32,18,0,"9,8","1,6"
192,29,9,2,30,10,0,0,3,7,11,5,10,32,0,0,"11,9","2,7"
192,23,17,1,30,10,0,4,-8,0,16,3,13,32,0,0,"10,17","3,15"
