RETAIL,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,
0,false,5,5,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2
192,2,0,0,345,0,13,0,0,0,1,7,10,32,18,11,"5,5","0,3"
192,14,5,0,34,0,0,0,0,0,0,0,7,32,0,0,"4,11","2,9"
192,32,25,0,69,0,0,0,0,4,21,2,7,32,0,0,"5,5","0,3"
192,10,1,0,104,0,0,0,0,1,8,29,7,32,0,0,"7,9","1,7"
192,11,10,0,138,0,0,0,0,0,10,29,5,32,19,0,"10,8","3,6"
192,61,29,0,0,0,0,0,0,0,60,5,7,32,0,0,"5,5","0,3"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,12","1,10"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,16","2,14"
