Level,Speed,AT,MAT,DF,MDF,HP,EXP
1,70,2,3,2,4,18,20
2,0,1,3,1,3,18,43
3,0,2,3,1,3,18,103
4,0,2,3,2,3,18,202
5,0,1,3,1,3,18,349
6,0,2,4,2,4,18,555
7,0,2,3,1,3,18,829
8,0,1,3,1,3,18,1180
9,0,2,3,2,3,18,1619
10,0,2,3,1,3,18,2155
11,0,2,3,2,4,18,2797
12,0,2,4,1,3,49,3557
13,0,2,4,2,3,50,4443
14,0,2,4,2,3,50,5464
15,0,2,4,2,3,50,6632
16,0,2,4,2,3,50,7955
17,0,2,4,2,3,49,9443
18,0,2,4,2,3,50,11106
19,0,2,4,2,3,50,12953
20,0,2,4,2,3,50,14995
21,0,3,4,1,3,50,17241
22,0,1,3,3,3,67,19700
23,0,1,4,2,4,67,22383
24,0,1,4,2,3,67,25300
25,0,1,3,2,4,67,28459
26,0,1,4,2,4,68,31870
27,0,1,4,2,3,67,35544
28,0,1,3,2,4,67,39490
29,0,1,4,3,3,67,43718
30,0,1,4,2,4,67,48237
31,0,1,4,2,4,68,53057
32,0,2,3,2,3,71,58189
33,0,1,4,2,3,71,63641
34,0,1,4,2,3,72,69423
35,0,2,4,3,3,71,75545
36,0,1,4,2,3,72,82017
37,0,1,3,2,3,71,88848
38,0,2,4,2,3,71,96049
39,0,1,4,2,3,72,103628
40,0,1,4,2,3,71,111596
41,0,2,4,2,4,72,119963
42,0,4,3,3,3,155,128737
43,0,4,4,2,4,155,137929
44,0,4,4,3,3,156,147549
45,0,4,3,2,4,155,157606
46,0,5,4,3,3,156,168110
47,0,4,4,2,4,155,179070
48,0,4,3,2,3,155,190497
49,0,4,4,3,4,156,202400
50,0,4,4,2,3,155,217885
51,0,4,4,3,4,156,233990
52,0,5,4,2,3,96,250727
53,0,5,4,2,3,96,268107
54,0,4,5,2,4,96,286143
55,0,5,4,2,3,96,304846
56,0,5,4,2,3,96,324230
57,0,4,5,2,4,96,344306
58,0,5,4,2,3,96,365087
59,0,5,4,2,4,96,386584
60,0,4,5,2,3,96,0
