Level,Speed,AT,MAT,DF,MDF,HP,EXP
1,65,2,3,2,3,24,30
2,0,1,3,1,3,24,50
3,0,2,3,2,3,24,100
4,0,2,3,1,3,24,204
5,0,1,4,2,3,24,352
6,0,2,3,1,4,24,559
7,0,2,3,2,3,24,835
8,0,1,4,1,3,24,1189
9,0,2,3,2,3,24,1632
10,0,2,3,1,3,24,2172
11,0,2,4,2,4,24,2820
12,0,1,5,1,6,66,3585
13,0,1,6,2,6,66,4478
14,0,1,6,2,6,67,5508
15,0,1,5,2,6,66,6684
16,0,1,6,1,6,67,8018
17,0,2,6,2,6,66,9517
18,0,1,5,2,6,66,11193
19,0,1,6,2,6,67,13056
20,0,1,6,2,6,66,15113
21,0,1,6,1,6,67,17377
22,0,2,5,2,6,89,19856
23,0,1,6,1,5,90,22560
24,0,2,5,2,5,89,25500
25,0,1,6,1,6,90,28684
26,0,2,5,2,5,90,32122
27,0,1,6,1,6,89,35825
28,0,1,5,2,5,90,39802
29,0,2,6,1,6,89,44064
30,0,1,6,2,5,90,48618
31,0,2,5,2,6,90,53477
32,0,2,5,1,5,95,58649
33,0,1,5,2,5,95,64144
34,0,2,6,1,5,95,69972
35,0,2,5,2,5,95,76142
36,0,2,5,1,6,96,82665
37,0,2,5,2,5,95,89551
38,0,2,5,1,5,95,96808
39,0,2,5,2,5,95,104448
40,0,1,5,1,5,95,112479
41,0,2,6,2,6,96,120911
42,0,2,2,3,2,207,129755
43,0,2,3,4,3,207,139020
44,0,2,3,3,2,207,148716
45,0,2,3,4,3,207,158852
46,0,2,3,4,3,208,169439
47,0,3,3,3,2,207,180486
48,0,2,3,4,3,207,192003
49,0,2,3,3,2,207,204000
50,0,2,3,4,3,207,219608
51,0,2,3,4,3,208,235840
52,0,2,3,5,3,128,252709
53,0,2,3,5,3,128,270226
54,0,3,3,6,3,128,288405
55,0,2,2,5,3,128,307256
56,0,2,3,5,3,128,326793
57,0,2,3,6,3,128,347028
58,0,3,3,5,3,128,367973
59,0,2,3,5,3,128,389640
60,0,2,3,6,2,128,0
