targetType,flags,specialEffect,damage,multi,accuracy,mp,statusChance,element,statusType,buffType,_0b,index,battleStage,Registry ID,Name,Description
192,0,0,510,0,100,10,0,128,0,0,0,0,,flameshot,Flameshot,Fire STR 510%% xActivated Burn
200,0,0,340,0,100,20,0,128,0,0,0,1,,explosion,Explosion,Fire STR 340%% xActivated Burn
192,0,0,765,0,100,30,0,128,0,0,0,2,,final_burst,Final Burst,Fire STR 765%% xActivated Burn
200,0,0,1020,0,100,80,0,128,0,0,0,3,71,red_eyed_dragon,Red-Eyed Dragon,Fire STR 1020%% xActivated Burn
192,0,0,1530,0,100,50,0,8,0,0,0,4,,divine_dg_cannon,Divine DG Cannon,Void STR 1020%%
200,0,0,440,0,100,20,0,64,0,0,0,5,,wing_blaster,Wing Blaster,Wind STR 440%%
192,0,0,990,0,100,30,0,64,0,0,0,6,,gaspless,Gaspless,Wind STR 990%%
136,4,16,0,0,100,20,0,64,0,192,0,7,,blossom_storm,Blossom Storm,Damage Resist 50%% Dur 3
200,0,0,1320,0,100,80,0,64,0,0,0,8,72,jade_dragon,Jade Dragon,Wind STR 1320%%
200,0,0,1020,0,100,50,0,8,0,0,0,9,,divine_dg_ball,Divine DG Ball,Void STR 1020%%
200,0,0,330,0,100,20,0,32,0,0,0,10,,star_children,Star Children,Light STR 330%%
128,4,2,0,100,100,10,0,32,0,0,0,11,,moon_light,Moon Light,Single 100%% HP 50%% RV
136,4,2,0,50,100,30,0,32,0,0,0,12,,gates_of_heaven,Gates of Heaven,All 50%% HP & 50%% RV
200,2,0,865,0,100,80,0,32,0,0,0,13,75,white_silver_dragon,W Silver Dragon,Light STR 865%% & 100%% HP
200,0,0,440,0,100,20,0,64,0,0,0,14,,albert_wing_blaster,Wing Blaster,Wind STR 440%%
192,2,0,590,0,100,10,0,4,0,0,0,15,,astral_drain,Astral Drain,Dark STR 590%% & HP
200,0,32,395,0,100,20,100,4,8,0,0,16,,death_dimension,Death Dimension,Dark STR 395%%
192,0,0,990,0,100,30,0,64,0,0,0,17,,albert_gaspless,Gaspless,Wind STR 990%%
200,128,0,0,0,100,30,100,4,0,0,0,18,,demons_gate,Demon's Gate,Lethal attack for all
192,0,0,1680,0,100,80,0,4,0,0,0,19,74,dark_dragon,Dark Dragon,Dark STR 1680%% & HP
192,0,0,330,0,100,10,0,16,0,0,0,20,,atomic_mind,Atomic Mind,Thunder STR 330%%
192,0,32,660,0,100,20,100,16,16,0,0,21,,thunder_kid,Thunder Kid,Thunder STR 660%%
192,0,0,990,0,100,30,0,16,0,0,0,22,,thunder_god,Thunder God,Thunder STR 990%%
192,0,0,1495,0,100,80,0,16,0,0,0,23,77,violet_dragon,Violet Dragon,Thunder STR 1495%%
192,0,0,765,0,100,10,0,1,0,0,0,24,,freezing_ring,Freezing Ring,Water STR 765%%
136,4,2,0,50,100,20,0,1,0,0,0,25,,rainbow_breath,Rainbow Breath,HP Recv & Cure - All
136,4,16,0,0,100,20,0,64,0,192,0,26,,rose_storm,Rose Storm,Damage Resist 50%% Dur 3
200,0,0,530,0,100,30,0,1,0,0,0,27,,diamond_dust,Diamond Dust,Water STR 530%%
192,0,0,1460,0,100,80,0,1,0,0,0,28,73,blue_sea_dragon,Blue Sea Dragon,Water STR 1460%%
200,0,0,675,0,100,20,0,2,0,0,0,29,,grand_stream,Grand Stream,Earth STR 675%%
200,0,0,1120,0,100,30,0,2,0,0,0,30,,meteor_strike,Meteor Strike,Earth STR 1120%%
200,0,0,2220,0,100,80,0,2,0,0,0,31,76,golden_dragon,Golden Dragon,Earth STR 2220%%
200,0,0,0,0,100,20,0,32,0,0,0,65,,miranda_star_children,Star Children,Light STR 100%% All
128,4,2,0,100,100,10,0,32,0,0,0,66,,miranda_moon_light,Moon Light,Ally Single 100%% Rev & Rec
136,4,2,0,50,100,30,0,32,0,0,0,67,,miranda_gates_of_heaven,Gates of Heaven,Ally All 100%% Recover
