Level,Speed,AT,MAT,DF,MDF,HP,EXP
1,60,3,2,4,2,27,20
2,0,2,1,2,1,27,43
3,0,3,2,2,2,27,103
4,0,3,1,2,1,27,202
5,0,3,2,2,1,27,349
6,0,3,2,3,2,27,554
7,0,2,1,2,1,27,827
8,0,3,2,2,1,27,1178
9,0,3,1,2,2,27,1616
10,0,3,2,2,1,27,2150
11,0,3,2,3,1,27,2792
12,0,3,2,2,4,74,3550
13,0,3,3,3,3,75,4434
14,0,3,3,2,3,75,5454
15,0,3,3,3,3,74,6619
16,0,4,3,2,4,75,7939
17,0,3,3,3,3,75,9424
18,0,3,3,2,3,74,11084
19,0,3,3,3,3,75,12928
20,0,3,3,2,4,75,14965
21,0,4,3,3,3,75,17207
22,0,3,1,2,1,100,19661
23,0,3,1,3,1,101,22339
24,0,3,0,2,1,101,25250
25,0,3,1,3,1,101,28402
26,0,3,1,2,1,101,31807
27,0,3,1,3,1,100,35474
28,0,3,1,2,1,101,39412
29,0,3,0,3,1,101,43632
30,0,3,1,2,0,101,48142
31,0,4,1,3,1,101,52953
32,0,3,4,2,5,107,58074
33,0,3,5,3,4,107,63515
34,0,3,4,2,4,107,69286
35,0,3,5,3,4,107,75396
36,0,3,4,2,4,107,81855
37,0,3,4,3,4,107,88673
38,0,3,5,2,5,107,95859
39,0,3,4,3,4,107,103424
40,0,3,5,2,4,107,111376
41,0,4,4,3,4,108,119726
42,0,3,1,2,1,233,128483
43,0,3,1,2,1,233,137657
44,0,3,0,3,1,233,147258
45,0,3,1,2,1,233,157294
46,0,3,1,3,0,233,167777
47,0,3,1,2,1,233,178716
48,0,3,0,3,1,233,190120
49,0,3,1,2,1,233,202000
50,0,3,1,3,1,233,217455
51,0,4,1,2,1,234,233528
52,0,3,4,3,4,144,250231
53,0,4,5,3,5,144,267577
54,0,3,4,2,4,144,285577
55,0,4,5,3,5,144,304244
56,0,3,5,3,4,144,323589
57,0,4,4,2,5,144,343626
58,0,3,5,3,4,144,364365
59,0,4,4,3,5,144,385820
60,0,4,5,3,4,144,0
