RETAIL,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,
4079,true,5,2,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,
1.1,1.2,,,,,,,,,,,,,,,,
1.2,1.4,,,,,,,,,,,,,,,,
1.3,1.6,,,,,,,,,,,,,,,,
1.5,1.75,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2
192,7,1,3,75,10,23,0,0,0,0,0,9,32,18,13,"4,1","0,0"
192,21,6,1,25,10,0,4,-6,0,6,5,10,32,0,0,"5,6","3,4"
