Level,Speed,AT,MAT,DF,MDF,HP,EXP
1,55,3,6,5,5,21,20
2,0,3,4,3,2,21,44
3,0,3,4,3,3,21,104
4,0,4,4,3,2,21,204
5,0,3,4,3,3,21,353
6,0,4,5,2,2,21,561
7,0,3,4,3,3,21,838
8,0,4,4,3,2,21,1193
9,0,3,4,3,3,21,1636
10,0,4,4,3,2,21,2178
11,0,3,5,3,3,21,2828
12,0,2,1,1,2,58,3596
13,0,1,1,2,2,58,4491
14,0,2,1,1,3,58,5524
15,0,2,2,1,2,58,6704
16,0,2,1,1,2,58,8041
17,0,1,1,1,2,58,9545
18,0,2,2,2,2,58,11226
19,0,2,1,1,2,58,13094
20,0,1,1,1,3,58,15158
21,0,2,2,1,2,59,17428
22,0,2,1,3,3,78,19914
23,0,1,1,4,3,78,22627
24,0,2,1,3,3,79,25575
25,0,2,2,3,3,78,28768
26,0,2,1,4,3,79,32217
27,0,1,1,3,3,78,35931
28,0,2,2,3,3,78,39919
29,0,2,1,3,3,79,44193
30,0,2,1,4,3,78,48761
31,0,1,2,3,3,79,53634
32,0,2,1,1,1,83,58821
33,0,2,2,1,1,83,64332
34,0,2,2,2,1,83,70177
35,0,2,1,1,1,84,76366
36,0,2,2,1,1,83,82908
37,0,2,2,1,1,83,89814
38,0,1,2,1,2,84,97093
39,0,2,1,1,1,83,104755
40,0,2,2,2,1,83,112809
41,0,2,2,1,1,84,121267
42,0,4,4,4,4,181,130137
43,0,4,4,4,4,181,139429
44,0,5,4,4,4,181,149153
45,0,4,4,5,4,182,159319
46,0,4,4,4,4,181,169937
47,0,4,4,4,4,181,181016
48,0,4,4,4,4,182,192567
49,0,5,4,4,4,181,204600
50,0,4,4,5,4,181,220253
51,0,4,4,4,4,182,236533
52,0,1,2,1,2,112,253452
53,0,1,2,1,1,112,271021
54,0,1,2,1,2,112,289253
55,0,1,2,1,2,112,308160
56,0,1,2,1,2,112,327754
57,0,2,2,1,2,112,348049
58,0,1,2,1,2,112,369055
59,0,1,2,1,2,112,390786
60,0,1,3,1,2,112,0
