Flag,Slot,Type,Element,Elemental Resistance,Elemental Null,Status Resist,MP Per Physical Hit,SP Per Physical Hit,MP Per Magical Hit,SP Per Magical Hit,HP Multiplier,MP Multiplier,SP Multiplier,Magical Resistance,Physical Resistance,Magical Immunity,Physical Immunity,Revive,HP Regen,MP Regen,SP Regen,Escape Bonus,Icon,SPD,AT,MAT,DF,MDF,A-Hit,M-Hit,A-AV,M-AV,Status Chance,On Hit Status,Price,Name,Description,Registry ID
0,128,longsword,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,Broad Sword, ,dragoon_modifier:broad_sword
0,128,longsword,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,30,Bastard Sword, ,dragoon_modifier:bastard_sword
0,128,longsword,128,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,75,Heat Blade,Fire-based attack.,dragoon_modifier:heat_blade
0,128,longsword,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,125,Falchion, ,dragoon_modifier:falchion
0,128,longsword,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,4,175,Mind Crush,Confuses Enemy §with given§probability.,dragoon_modifier:mind_crush
0,128,longsword,0,0,0,0,0,0,0,0,0,0,50,false,false,false,false,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,200,Fairy Sword,Gives 50% more SP.,dragoon_modifier:fairy_sword
0,128,longsword,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,250,Claymore, ,dragoon_modifier:claymore
0,128,longsword,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,-10,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,225,Soul Eater,Powerful but§HP decays  §each turn.,dragoon_modifier:soul_eater
0,128,axe,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,100,Axe, ,dragoon_modifier:axe
0,128,axe,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,150,Tomahawk, ,dragoon_modifier:tomahawk
0,128,axe,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,175,Battle Axe, ,dragoon_modifier:battle_axe
0,128,axe,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,20,16,200,Great Axe,"Stuns enemy, with§a given §probability.",dragoon_modifier:great_axe
64,128,axe,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,10,0,250,Indora's Axe,Instantly kills §enemy with given§probability.,dragoon_modifier:indoras_axe
0,128,shortsword,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,30,Rapier, ,dragoon_modifier:rapier
0,128,shortsword,4,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,100,Shadow Cutter,Darkness-based §attack.,dragoon_modifier:shadow_cutter
0,128,shortsword,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,150,Dancing Dagger, ,dragoon_modifier:dancing_dagger
0,128,shortsword,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,10,16,175,Flamberge,"Stuns enemy, with a§given probability.",dragoon_modifier:flamberge
64,128,shortsword,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,10,0,200,Gladius,Instantly kills §enemy with given§probability.,dragoon_modifier:gladius
4,128,shortsword,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,250,Dragon Buster, ,dragoon_modifier:dragon_buster
0,128,shortsword,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,20,8,225,Demon Stilleto,Frightens enemy §with a given§probability.,dragoon_modifier:demon_stiletto
0,128,polearm,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,Spear, ,dragoon_modifier:spear
0,128,polearm,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,50,Lance, ,dragoon_modifier:lance
0,128,polearm,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,125,Glaive, ,dragoon_modifier:glaive
0,128,polearm,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,20,8,150,Spear of Terror,Frightens enemy§with a given §probability.,dragoon_modifier:spear_of_terror
0,128,polearm,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,200,Partisan, ,dragoon_modifier:partisan
0,128,polearm,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,250,Halberd, ,dragoon_modifier:halberd
0,128,polearm,64,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,200,Twister Glaive,Wind-based attack.,dragoon_modifier:twister_glaive
0,128,bow,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,2,0,0,0,0,0,5,5,0,0,10,Short Bow, ,dragoon_modifier:short_bow
